step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.416984816527526,0,0.0,0.3920357610591064,0,0.0
10.0,1,0.0,0.0,10.208263299979482,1,0.0,0.7500288545895141,1,0.0
15.0,0,0.0,0.0,11.192188092657121,0,0.0,0.8291690416347322,0,0.0
20.0,1,0.0,0.0,10.941141015141715,1,0.0,0.8131532653319553,1,0.0
25.0,1,0.0,0.0,10.459466725052087,1,0.0,0.7837290608461194,1,0.0
30.0,5,4.0,0.1,8.260395232441647,5,4.0,0.6437248944967254,5,4.0
35.0,11,40.0,0.8888888888888888,8.336413329946941,9,32.0,0.6142426749360116,9,32.0
40.0,10,78.0,1.4444444444444444,8.233679720346267,8,61.0,0.5947039506012435,8,61.0
45.0,10,126.0,2.1724137931034484,8.926689250190593,8,98.0,0.6326684774143984,8,98.0
50.0,13,172.0,2.606060606060606,8.177741143313538,11,134.0,0.5492343873217852,11,134.0
55.0,17,235.0,3.357142857142857,8.018018560202052,15,187.0,0.5174163177111758,15,187.0
60.0,13,298.0,4.197183098591549,8.785938845075139,11,242.0,0.5693458271643865,11,242.0
65.0,15,338.0,4.63013698630137,8.13413646100428,13,283.0,0.4959979692643447,13,283.0
70.0,23,437.0,5.986301369863014,7.6989277727078145,21,372.0,0.4482271628135545,21,372.0
75.0,25,548.0,6.936708860759493,6.977492253027255,23,471.0,0.3895159085106956,23,471.0
80.0,27,647.0,7.987654320987654,7.330450734170264,25,576.0,0.44956154181813573,25,576.0
85.0,30,775.0,9.337349397590362,7.23884739012354,28,693.0,0.4109628419171744,28,693.0
90.0,25,859.0,10.226190476190476,7.535662737129111,23,779.0,0.43313043134138357,23,779.0
95.0,28,985.0,11.588235294117647,7.00046512679988,26,891.0,0.397292647772208,26,891.0
100.0,32,873.0,9.920454545454545,5.983162520435896,32,1028.0,0.3056031856287352,32,1028.0
105.0,32,330.0,3.793103448275862,5.637345330568401,32,910.0,0.3113146849105105,32,910.0
110.0,31,230.0,2.5,5.52497213175844,29,810.0,0.30121721023238573,29,810.0
115.0,45,419.0,4.410526315789474,5.337867972532136,43,876.0,0.2930827587498154,43,876.0
120.0,52,620.0,6.391752577319588,4.798882206582097,52,1078.0,0.2546303404014433,52,1078.0
125.0,49,572.0,5.663366336633663,4.6398684627270645,49,1150.0,0.2578107879627803,49,1150.0
130.0,38,391.0,3.7596153846153846,5.169106812893801,36,1259.0,0.3012430105248792,36,1259.0
135.0,34,365.0,3.443396226415094,4.703954498016687,32,1322.0,0.24256021121807186,32,1322.0
140.0,40,499.0,4.62037037037037,4.770831218232408,38,1416.0,0.2506536768051614,38,1416.0
145.0,51,703.0,6.166666666666667,4.868930641186034,49,1543.0,0.2380162321907901,49,1543.0
150.0,51,946.0,8.085470085470085,5.277402080666907,49,1745.0,0.27848525089985904,49,1745.0
155.0,52,1173.0,9.694214876033058,5.77839662803112,50,1950.0,0.2908547458236564,50,1950.0
160.0,51,1389.0,11.479338842975206,5.602872925087059,49,2144.0,0.2754461218058658,49,2144.0
165.0,50,1558.0,12.770491803278688,5.61907634292571,48,2371.0,0.2819339068989707,48,2371.0
170.0,45,1671.0,13.809917355371901,5.070695262681589,43,2520.0,0.25861191730991107,43,2520.0
175.0,57,1921.0,15.87603305785124,5.206556578591917,55,2752.0,0.2538165991734637,55,2752.0
180.0,63,1923.0,15.892561983471074,4.674776232503561,63,3035.0,0.22125731049215425,63,3035.0
185.0,61,1333.0,10.496062992125983,3.9566861630625643,61,2943.0,0.19407259416954772,61,2943.0
190.0,46,845.0,6.6015625,4.869215155502605,45,2565.0,0.24622334490864478,45,2565.0
195.0,55,1073.0,8.448818897637794,4.752847144778999,53,2597.0,0.2323800440884707,53,2597.0
200.0,70,1363.0,10.6484375,3.938904258142903,70,2911.0,0.17953904538211216,70,2911.0
205.0,75,1358.0,10.366412213740459,3.2677359139654394,75,3004.0,0.15009169076976003,75,3004.0
210.0,75,1009.0,7.643939393939394,3.158396495287257,73,3263.0,0.14289371364818973,73,3263.0
215.0,70,836.0,6.333333333333333,3.3642515584639314,68,3499.0,0.15149597506380016,68,3499.0
220.0,67,801.0,5.762589928057554,3.712723913585231,65,3726.0,0.1787355778482145,65,3726.0
225.0,59,833.0,5.866197183098592,3.791424163570635,59,3994.0,0.17853714898331605,59,3994.0
230.0,56,615.0,4.212328767123288,3.7051435308487743,56,3925.0,0.17707467021379325,56,3925.0
235.0,57,498.0,3.410958904109589,3.8167345867925744,55,3877.0,0.19142139159374735,55,3877.0
240.0,70,819.0,5.609589041095891,3.493981372423407,68,4075.0,0.1626708813906744,68,4075.0
245.0,87,1154.0,7.74496644295302,2.7675347172169937,87,4474.0,0.10306616664367678,87,4474.0
250.0,93,1284.0,8.447368421052632,2.587781252620253,93,4551.0,0.09162522747450448,93,4551.0
255.0,87,1219.0,7.764331210191083,2.8469196514502486,85,4687.0,0.11262511574648945,85,4687.0
260.0,83,1226.0,7.7594936708860756,3.3245476370198075,81,4884.0,0.1386866343542955,81,4884.0
265.0,81,1186.0,7.506329113924051,3.1350966562921267,79,5150.0,0.13474553396223082,79,5150.0
270.0,80,1192.0,7.403726708074534,3.523858565298563,78,5391.0,0.1526129917508011,78,5391.0
275.0,78,1279.0,7.704819277108434,3.5064580280793423,76,5661.0,0.14982093986472683,76,5661.0
280.0,81,1443.0,8.589285714285714,3.381493343735297,79,5976.0,0.1391845180687897,79,5976.0
285.0,84,1715.0,10.331325301204819,3.4784635810777176,82,6262.0,0.1393197066776843,82,6262.0
290.0,84,2036.0,12.119047619047619,3.413283812948709,82,6613.0,0.14573322553086301,82,6613.0
295.0,84,2425.0,14.520958083832335,3.67615562758483,82,6951.0,0.17121776969126287,82,6951.0
300.0,93,2865.0,17.053571428571427,3.959926989903376,91,7315.0,0.18656326534375375,91,7315.0
305.0,99,3243.0,19.076470588235296,3.6780225332959535,99,7775.0,0.16423679863932986,99,7775.0
310.0,93,2928.0,17.223529411764705,3.428821711613426,93,7724.0,0.15487429852639886,93,7724.0
315.0,85,2419.0,14.31360946745562,2.9578731535117555,83,7831.0,0.13438816959522465,83,7831.0
320.0,95,2776.0,16.42603550295858,2.7849717195887296,93,8057.0,0.12654009020999016,93,8057.0
325.0,111,3211.0,18.45402298850575,2.109716538926157,111,8535.0,0.08749982286158654,111,8535.0
330.0,113,3168.0,17.797752808988765,2.153124609274199,113,8605.0,0.08764920743630285,113,8605.0
335.0,100,2769.0,15.64406779661017,2.661229727286123,99,8369.0,0.10780940182843367,99,8369.0
340.0,101,2568.0,14.346368715083798,2.620669087187231,99,8536.0,0.10431943019101132,99,8536.0
345.0,103,2321.0,12.61413043478261,2.6878548915029374,103,9044.0,0.10522316496156894,103,9044.0
350.0,95,1896.0,10.248648648648649,2.4127442727395314,95,9063.0,0.08579868239406768,95,9063.0
355.0,87,1192.0,6.549450549450549,2.4627163680474027,85,8985.0,0.0947262809687202,85,8985.0
360.0,88,1053.0,5.85,2.3398971997482656,86,9283.0,0.08622824424131259,86,9283.0
365.0,97,1125.0,6.081081081081081,2.0874375086606904,97,9738.0,0.08110489953550644,97,9738.0
370.0,89,1052.0,5.686486486486486,2.332088043531508,89,9671.0,0.09621535470568521,89,9671.0
375.0,82,928.0,5.0710382513661205,2.5986796379360633,81,9258.0,0.1068610031156596,81,9258.0
380.0,84,1000.0,5.376344086021505,2.706699909942088,82,9458.0,0.10561351123636475,82,9458.0
385.0,94,1117.0,6.005376344086022,2.5761638712730583,92,9681.0,0.09476943850367843,92,9681.0
390.0,96,1231.0,6.478947368421053,2.6224196461832445,94,9949.0,0.09055700453983238,94,9949.0
395.0,102,1434.0,7.5473684210526315,2.7268635983334546,100,10286.0,0.09038191138992822,100,10286.0
400.0,104,1700.0,8.994708994708995,2.854200785969252,102,10610.0,0.11085564307263217,102,10610.0
405.0,97,1879.0,10.04812834224599,3.1378989206394503,97,11062.0,0.13159926770128066,97,11062.0
410.0,81,1507.0,8.32596685082873,3.003735168956246,81,11024.0,0.1396409133066822,81,11024.0
415.0,73,1122.0,6.338983050847458,3.289416738571492,71,10992.0,0.16372988832915372,71,10992.0
420.0,87,1393.0,7.825842696629214,2.9850549407685816,85,11228.0,0.1399388505514162,85,11228.0
425.0,107,1832.0,10.121546961325967,2.433893333871647,107,11713.0,0.0939051001217767,107,11713.0
430.0,113,1970.0,10.883977900552486,1.9362255229577803,113,11648.0,0.07141655355740695,113,11648.0
435.0,107,1833.0,9.75,2.230630991079086,105,11459.0,0.08074378050812317,105,11459.0
440.0,105,1850.0,9.840425531914894,2.453497029371496,103,11671.0,0.10191441525113941,103,11671.0
445.0,102,1790.0,9.322916666666666,2.428838275739744,102,12162.0,0.09205343956539637,102,12162.0
450.0,97,1525.0,7.942708333333333,2.36403420913573,97,12203.0,0.09251200475846749,97,12203.0
455.0,92,1182.0,6.124352331606218,2.3584091796605975,90,12309.0,0.0851203516076555,90,12309.0
460.0,99,1145.0,6.058201058201059,2.1163170882196334,97,12661.0,0.07754603634881083,97,12661.0
465.0,103,1243.0,6.682795698924731,1.8911232843756491,103,13160.0,0.06361038444284545,103,13160.0
470.0,95,1131.0,6.080645161290323,1.76897532241119,95,13016.0,0.06208165102085055,95,13016.0
475.0,87,961.0,5.194594594594594,2.390831174345998,86,12592.0,0.09665246600907446,86,12592.0
480.0,91,1065.0,5.664893617021277,2.5716051494619423,89,12779.0,0.10178836862854791,89,12779.0
