step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.7522721550460645,0,0.0,0.42495589864282696,0,0.0
10.0,1,0.0,0.0,10.437505161472105,1,0.0,0.7605640579561752,1,0.0
15.0,0,0.0,0.0,11.255660779726373,0,0.0,0.8096475349899791,0,0.0
20.0,1,0.0,0.0,10.904640699974962,1,0.0,0.7843711638788836,1,0.0
25.0,1,0.0,0.0,10.41822792014415,1,0.0,0.7494720434245568,1,0.0
30.0,5,6.0,0.15,8.370098011916905,4,5.0,0.6251541643996563,4,5.0
35.0,12,45.0,1.0,7.82386230081275,10,35.0,0.5642828140656573,10,35.0
40.0,10,81.0,1.5,8.288336861926892,8,65.0,0.5808072925124106,8,65.0
45.0,11,128.0,2.206896551724138,8.706577076856863,9,102.0,0.5784062691988102,9,102.0
50.0,14,175.0,2.6515151515151514,8.382503237248288,12,139.0,0.5498561369241763,12,139.0
55.0,17,230.0,3.2857142857142856,8.014835512279838,15,187.0,0.4994154492984411,15,187.0
60.0,19,263.0,3.757142857142857,7.945656398898973,19,270.0,0.47038355131317044,19,270.0
65.0,17,118.0,1.6388888888888888,6.955634285500717,17,238.0,0.4121782089680772,17,238.0
70.0,23,215.0,2.8666666666666667,6.803820707131982,21,254.0,0.38622736607018454,21,254.0
75.0,32,349.0,4.417721518987341,5.352880147507131,30,362.0,0.2974454066501084,30,362.0
80.0,40,507.0,6.108433734939759,5.647913316509625,40,539.0,0.3052177847033733,40,539.0
85.0,33,381.0,4.430232558139535,5.893187302708838,33,608.0,0.3340014389709058,33,608.0
90.0,20,161.0,1.8295454545454546,6.736528170690786,18,554.0,0.3841947260512962,18,554.0
95.0,19,144.0,1.5483870967741935,6.610197787394499,17,565.0,0.35848364027258767,17,565.0
100.0,22,210.0,2.2580645161290325,6.3563031641924335,20,583.0,0.34172519877219554,20,583.0
105.0,33,346.0,3.6041666666666665,6.424216654005932,31,665.0,0.31462957134415753,31,665.0
110.0,36,465.0,4.744897959183674,5.505575511732654,36,821.0,0.27318875600460557,36,821.0
115.0,30,348.0,3.411764705882353,5.292107776798774,30,801.0,0.2688936109162535,30,801.0
120.0,43,509.0,4.894230769230769,5.284524296763342,41,877.0,0.26278548008092184,41,877.0
125.0,55,747.0,7.252427184466019,4.704773933265716,53,1090.0,0.24111361008198204,53,1090.0
