step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.287050883599041,0,0.0,0.3249704690640719,0,0.0
10.0,0,0.0,0.0,11.55324574224071,0,0.0,0.692353955041528,0,0.0
15.0,0,0.0,0.0,11.514611376794647,0,0.0,0.7318893848262407,0,0.0
20.0,2,4.0,0.2857142857142857,3.246842529571127,2,4.0,0.15865681210147434,2,4.0
25.0,5,25.0,1.5625,6.010232460658674,5,25.0,0.1807705006376399,5,25.0
30.0,2,12.0,0.75,7.959249907701478,2,28.0,0.310179786339125,2,28.0
35.0,6,10.0,0.7692307692307693,1.2013052615376696,4,18.0,0.05568742385166388,4,18.0
40.0,9,35.0,1.9444444444444444,2.049798317696589,9,49.0,0.06752530401427041,9,49.0
45.0,6,62.0,3.4444444444444446,7.577030926254488,6,62.0,0.2409346425640346,6,62.0
50.0,6,92.0,5.411764705882353,6.0439414772949664,6,92.0,0.09545301626810326,6,92.0
55.0,8,10.0,0.5555555555555556,2.7760555382192127,8,46.0,0.01606989812149014,8,46.0
60.0,3,5.0,0.2631578947368421,6.35552788924622,0,4.0,0.24146312844787268,0,4.0
65.0,4,25.0,1.3888888888888888,11.617153997849414,0,0.0,0.5327117005906122,0,0.0
70.0,6,49.0,3.5,7.230768382528718,2,4.0,0.23114891951528327,2,4.0
75.0,0,0.0,0.0,4.943543372448946,0,12.0,0.18055726902486216,0,12.0
80.0,0,0.0,0.0,9.351385703304748,0,0.0,0.573159937221814,0,0.0
85.0,0,0.0,0.0,9.803967494771214,0,0.0,0.6805573841518466,0,0.0
90.0,4,16.0,1.0666666666666667,4.028057967509193,4,16.0,0.2679206055460182,4,16.0
95.0,8,48.0,2.6666666666666665,2.2586465439118415,6,45.0,0.12829599987056337,6,45.0
100.0,6,75.0,4.166666666666667,5.831637718485471,6,78.0,0.24000210019657225,6,78.0
105.0,8,110.0,6.111111111111111,3.654944506072523,8,113.0,0.04928650486998289,8,113.0
110.0,6,29.0,1.45,2.4501062999013508,6,75.0,0.03864485491963589,6,75.0
115.0,4,31.0,1.4761904761904763,6.428022382163047,2,35.0,0.2608188706227289,2,35.0
120.0,6,61.0,3.05,10.094059046494191,2,38.0,0.41295741273082,2,38.0
125.0,3,46.0,3.066666666666667,6.269908721079813,3,49.0,0.06946966889895463,3,49.0
130.0,6,7.0,0.3888888888888889,4.427251437546073,6,8.0,0.09535952776320523,6,8.0
135.0,4,27.0,1.588235294117647,8.746594053764403,4,28.0,0.3005735904211468,4,28.0
140.0,4,47.0,3.357142857142857,6.575908276477189,4,48.0,0.11858584233085398,4,48.0
145.0,16,90.0,5.625,0.0002745886708239143,16,91.0,9.228519392307323e-06,16,91.0
150.0,2,15.0,0.75,4.619627180532433,2,49.0,0.2933171498309736,2,49.0
155.0,2,4.0,0.18181818181818182,8.727124318084753,0,0.0,0.7020623808536098,0,0.0
160.0,4,23.0,1.0454545454545454,8.252014829473287,0,0.0,0.5575315952742002,0,0.0
165.0,3,7.0,0.3333333333333333,4.226205443155379,3,14.0,0.14173492967807405,3,14.0
170.0,6,30.0,1.4285714285714286,7.009014659477776,6,30.0,0.20647829440805873,6,30.0
175.0,6,60.0,3.1578947368421053,6.548616302513269,6,60.0,0.18479764114481922,6,60.0
180.0,6,35.0,2.1875,2.782997214127626,6,62.0,0.04713879133817854,6,62.0
185.0,9,42.0,2.1,2.5545859141627596,6,63.0,0.10170331988026692,6,63.0
190.0,6,68.0,3.7777777777777777,6.02127994342741,6,98.0,0.24520622603526082,6,98.0
195.0,10,107.0,5.944444444444445,3.705846227479035,10,137.0,0.041789522296301986,10,137.0
200.0,6,32.0,1.6,2.3255091312832556,6,107.0,0.03548729163691148,6,107.0
205.0,6,35.0,1.5909090909090908,6.779680144163328,2,63.0,0.24457672848396692,2,63.0
210.0,6,65.0,3.25,9.694820598253623,2,67.0,0.39633421230097404,2,67.0
215.0,3,48.0,3.2,5.89976379404361,3,78.0,0.06586556574979224,3,78.0
220.0,7,8.0,0.36363636363636365,4.290286402897894,7,9.0,0.13604179373268574,7,9.0
225.0,4,28.0,1.2727272727272727,8.156557610319831,4,29.0,0.42600523982534155,4,29.0
230.0,4,48.0,2.4,7.126111046939239,4,49.0,0.40517889278323804,4,49.0
235.0,14,84.0,4.2,1.9651859197671808,14,85.0,0.14544077113490672,14,85.0
240.0,6,27.0,1.2857142857142858,3.4754398244461475,6,57.0,0.12210184470233605,6,57.0
245.0,9,47.0,2.238095238095238,7.042956834248993,5,40.0,0.297539219509232,5,40.0
250.0,10,94.0,4.476190476190476,6.629690368770137,6,67.0,0.09051745262832676,6,67.0
255.0,5,90.0,4.5,4.088292550118101,5,100.0,0.060691856330967256,5,100.0
260.0,3,23.0,1.15,7.382087431557354,3,77.0,0.2799644439654064,3,77.0
