step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.08723053089343,0,0.0,0.40185517672401366,0,0.0
10.0,3,0.0,0.0,7.0567041581221215,3,0.0,0.49637126941910653,3,0.0
15.0,1,3.0,0.10714285714285714,10.340421776551107,1,3.0,0.5669146650624037,1,3.0
20.0,5,17.0,0.4146341463414634,7.450514669887994,5,17.0,0.35135877773471796,5,17.0
25.0,18,56.0,1.1666666666666667,6.215111592406426,14,56.0,0.27834313491574264,14,56.0
30.0,18,102.0,1.9615384615384615,5.580513145342592,14,102.0,0.19157461608371823,14,102.0
35.0,21,193.0,3.4464285714285716,5.836601281072058,21,193.0,0.2156990174510749,21,193.0
40.0,35,320.0,4.923076923076923,4.662885286056543,31,320.0,0.15635239795479883,31,320.0
45.0,44,483.0,6.9,4.161801157849654,40,483.0,0.10602367801947248,40,483.0
50.0,33,349.0,4.847222222222222,3.224801899043112,33,494.0,0.11152944588726804,33,494.0
55.0,18,235.0,3.051948051948052,5.260209600638698,18,352.0,0.21137305979237878,18,352.0
60.0,27,350.0,4.117647058823529,5.644750370836682,23,365.0,0.24719443618837866,23,365.0
65.0,37,490.0,5.50561797752809,4.093333155301409,33,491.0,0.10534508730092229,33,491.0
70.0,30,258.0,3.108433734939759,4.719523231573062,30,565.0,0.1265243917158037,30,565.0
75.0,33,259.0,2.9431818181818183,4.586761617401436,32,535.0,0.15103983681469912,32,535.0
80.0,40,433.0,4.811111111111111,4.240459128432054,40,611.0,0.10353105654610877,40,611.0
85.0,34,540.0,6.067415730337078,5.276488325056288,34,604.0,0.11855260185214103,34,604.0
90.0,44,748.0,7.957446808510638,4.884490640071957,39,751.0,0.09951020011185172,39,751.0
95.0,56,942.0,10.129032258064516,4.782791282280707,47,958.0,0.12534365329470332,47,958.0
