step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.241442909540742,0,0.0,0.36181079150856704,0,0.0
10.0,1,0.0,0.0,11.16489194496068,1,0.0,0.7605140926873166,1,0.0
15.0,0,0.0,0.0,11.70248413366516,0,0.0,0.8121025229219268,0,0.0
20.0,1,0.0,0.0,10.965929806148608,1,0.0,0.7668309800100843,1,0.0
25.0,1,0.0,0.0,10.72324131958118,1,0.0,0.7570506287288894,1,0.0
30.0,4,6.0,0.15,8.388237123821835,4,6.0,0.5970651262741629,4,6.0
35.0,11,40.0,0.8888888888888888,9.0988647041099,11,40.0,0.588646718716803,11,40.0
40.0,15,99.0,1.8333333333333333,7.525491738189412,15,99.0,0.4843973410759565,15,99.0
45.0,7,28.0,0.4827586206896552,7.476910701124915,7,106.0,0.5120539871042233,7,106.0
50.0,8,21.0,0.3387096774193548,7.034770600504262,6,83.0,0.4840920785538989,6,83.0
55.0,16,75.0,1.1194029850746268,7.577852483994666,14,100.0,0.49548888004881175,14,100.0
60.0,14,117.0,1.6956521739130435,7.76512910762061,14,167.0,0.4860906844595617,14,167.0
65.0,19,156.0,2.108108108108108,7.2712526586101545,19,210.0,0.431391650012032,19,210.0
70.0,28,273.0,3.4556962025316458,6.583144409746803,27,323.0,0.3465878858746293,27,323.0
75.0,36,421.0,5.072289156626506,5.261728729900216,36,475.0,0.265267077974819,36,475.0
80.0,44,613.0,7.2976190476190474,5.316890020979473,44,667.0,0.2984350263268765,44,667.0
85.0,38,484.0,5.5,5.352863592570242,38,727.0,0.30881515550355204,38,727.0
90.0,24,233.0,2.6179775280898876,6.095613493734773,24,625.0,0.3315850119111252,24,625.0
95.0,15,85.0,0.9139784946236559,6.395568413983153,13,556.0,0.36565487314888495,13,556.0
100.0,16,75.0,0.78125,6.2055003221551575,16,611.0,0.3431451206011818,16,611.0
105.0,22,103.0,1.03,5.924446969611342,22,647.0,0.30483263923353726,22,647.0
110.0,37,248.0,2.4313725490196076,5.071693490318286,35,777.0,0.24316305835692087,35,777.0
115.0,47,443.0,4.300970873786408,4.444914924546877,46,975.0,0.2122340061823138,46,975.0
120.0,59,704.0,6.704761904761905,3.99923367413683,59,1245.0,0.19357582650495198,59,1245.0
125.0,56,698.0,6.5233644859813085,3.973925553861178,56,1354.0,0.21783719231820056,56,1354.0
130.0,45,498.0,4.568807339449541,5.133721551594076,45,1201.0,0.26360801812837686,45,1201.0
135.0,33,335.0,3.018018018018018,5.187843830400765,31,1137.0,0.2516471715989037,31,1137.0
