step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.4050382941628685,0,0.0,0.3949374542282856,0,0.0
10.0,1,0.0,0.0,10.752596300019045,1,0.0,0.7813985923805375,1,0.0
15.0,0,0.0,0.0,11.626608281938102,0,0.0,0.843636203370588,0,0.0
20.0,1,0.0,0.0,11.022706657692964,1,0.0,0.7965632402723474,1,0.0
25.0,1,0.0,0.0,10.592868647538758,1,0.0,0.7695124100306845,1,0.0
30.0,7,7.0,0.175,8.695688114831208,5,3.0,0.6567983986506287,5,3.0
35.0,10,26.0,0.5777777777777777,8.267697251010995,10,26.0,0.5449226931732317,10,26.0
40.0,16,84.0,1.5555555555555556,7.652327042361719,16,84.0,0.4834499425702578,16,84.0
45.0,17,111.0,1.9137931034482758,7.613558759525641,17,111.0,0.5087026620098086,17,111.0
50.0,6,25.0,0.38461538461538464,6.901524817812445,4,120.0,0.44311378110659466,4,120.0
55.0,14,63.0,0.9264705882352942,7.337845251071559,12,108.0,0.47193781313598665,12,108.0
60.0,16,135.0,1.9565217391304348,7.615877862305282,14,159.0,0.48843394985203525,14,159.0
65.0,23,240.0,3.2432432432432434,7.447312485173709,21,252.0,0.440807799357141,21,252.0
70.0,19,258.0,3.225,7.394330990239628,17,296.0,0.39812924413027934,17,296.0
75.0,16,231.0,2.6551724137931036,7.4880313106439775,14,291.0,0.4109981259849581,14,291.0
80.0,22,316.0,3.6744186046511627,7.21037925763749,20,361.0,0.4074830812003519,20,361.0
85.0,28,433.0,5.094117647058823,7.163767467078326,26,466.0,0.4165244952367052,26,466.0
90.0,29,540.0,6.206896551724138,7.115707237437319,27,584.0,0.39873023375177363,27,584.0
95.0,31,586.0,6.511111111111111,6.2608416772495605,31,722.0,0.34044886826221665,31,722.0
100.0,41,755.0,8.48314606741573,4.60536379401663,41,891.0,0.24974543300743635,41,891.0
105.0,54,998.0,11.088888888888889,4.134294223298933,54,1134.0,0.22994207089159993,54,1134.0
110.0,44,700.0,7.291666666666667,4.106950183774807,44,1033.0,0.2320030009022061,44,1033.0
115.0,50,909.0,9.275510204081632,4.178424315066853,48,1146.0,0.23406926299892947,48,1146.0
120.0,63,1191.0,11.563106796116505,4.042672847697602,61,1396.0,0.2016519796226496,61,1396.0
125.0,64,1466.0,13.574074074074074,4.270976435543825,62,1619.0,0.2099890720946049,62,1619.0
130.0,70,1795.0,16.17117117117117,4.288836212508124,68,1938.0,0.217741106554166,68,1938.0
135.0,71,2109.0,18.663716814159294,3.615274911786546,70,2249.0,0.17388074998877523,70,2249.0
140.0,79,2441.0,21.22608695652174,2.8310833644990616,79,2589.0,0.12941233513000527,79,2589.0
145.0,92,2853.0,23.195121951219512,2.8053747558877022,92,2999.0,0.11744080460093663,92,2999.0
150.0,90,3288.0,26.516129032258064,2.6866083861168786,90,3434.0,0.1321428708250701,90,3434.0
155.0,75,2372.0,18.825396825396826,3.1037043171122574,75,3200.0,0.15500072548593227,75,3200.0
160.0,68,1598.0,12.292307692307693,3.3661101907779685,66,3319.0,0.1585525958274253,66,3319.0
165.0,64,1171.0,8.80451127819549,3.5912048769888827,62,3413.0,0.17609861447580757,62,3413.0
170.0,59,848.0,6.189781021897811,3.9351153220468853,57,3377.0,0.1775837716531927,57,3377.0
175.0,56,682.0,4.871428571428571,4.017901531770372,54,3406.0,0.16822572415049897,54,3406.0
180.0,55,711.0,5.115107913669065,4.068605926163115,53,3495.0,0.1793661219819909,53,3495.0
185.0,57,850.0,5.782312925170068,4.257249145686073,55,3565.0,0.19736858171524588,55,3565.0
190.0,59,1086.0,7.387755102040816,4.494039278734899,57,3671.0,0.21568012796565467,57,3671.0
