step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.995591711994661,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,10.50077841422514,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.176816132479921,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,10.90538038140507,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,10.658341578168558,0,0.0,0.7664916337469805,0,0.0
30.0,5,7.0,0.175,8.337238445058537,3,7.0,0.26603912441664945,3,7.0
35.0,12,47.0,1.0444444444444445,7.457806615021869,10,48.0,0.10603843158681023,10,48.0
40.0,4,5.0,0.09259259259259259,7.788082911190941,2,41.0,0.1403736109556192,2,41.0
45.0,4,14.0,0.2413793103448276,10.287605259641548,1,10.0,0.4792474575121381,1,10.0
50.0,6,38.0,0.5846153846153846,10.64102517928913,2,16.0,0.4769274066534514,2,16.0
55.0,9,66.0,0.9705882352941176,10.260978536730262,3,29.0,0.4171735759793287,3,29.0
60.0,7,100.0,1.4492753623188406,10.637143999301415,3,44.0,0.38716521040868696,3,44.0
65.0,12,148.0,2.1449275362318843,9.737980085580318,8,72.0,0.1712559387833303,8,72.0
70.0,10,109.0,1.5797101449275361,9.364247395728482,9,118.0,0.18146922391099043,9,118.0
75.0,7,14.0,0.19444444444444445,8.719439236028544,5,49.0,0.24001656323816445,5,49.0
80.0,15,63.0,0.9,8.871649763424628,11,65.0,0.05928028512191588,11,65.0
85.0,19,129.0,1.9253731343283582,7.847670717978749,16,138.0,0.060705577587970974,16,138.0
90.0,23,232.0,3.36231884057971,7.538961092834752,21,238.0,0.0036942586774973284,21,238.0
95.0,29,358.0,4.837837837837838,6.893797311848829,23,353.0,0.11219442723929449,23,353.0
100.0,35,505.0,6.733333333333333,5.343704013658006,26,473.0,0.04513179528211493,26,473.0
105.0,27,260.0,3.611111111111111,4.8481098833697525,13,402.0,0.08154521462134295,13,402.0
110.0,18,92.0,1.1645569620253164,5.722823165912806,5,197.0,0.21499551672327935,5,197.0
115.0,12,106.0,1.2470588235294118,8.091760963798484,7,140.0,0.2952625687896499,7,140.0
120.0,14,114.0,1.2666666666666666,8.34423454279106,12,243.0,0.16083499105621565,12,243.0
125.0,18,61.0,0.6354166666666666,7.793065942493718,16,231.0,0.03664266432218631,16,231.0
130.0,32,188.0,2.0,7.280786872169174,23,307.0,0.0773418659735135,23,307.0
135.0,40,365.0,4.010989010989011,5.769705922197786,23,422.0,0.08506108458372436,23,422.0
140.0,48,570.0,6.404494382022472,5.0511622806531555,23,537.0,0.0,23,537.0
145.0,57,808.0,8.505263157894737,4.432019572075669,23,652.0,0.010358213032302268,23,652.0
150.0,43,648.0,6.967741935483871,4.4014464057238465,9,508.0,0.09023356075617722,9,508.0
155.0,30,337.0,3.5473684210526315,5.467464908571123,1,273.0,0.3695209082931622,1,273.0
160.0,24,168.0,1.68,6.691151806284571,4,203.0,0.3996936569610066,4,203.0
165.0,11,63.0,0.6237623762376238,6.922377481090691,5,383.0,0.15463813536107088,5,383.0
170.0,19,59.0,0.5514018691588785,6.953589887875076,17,512.0,0.13014152344855806,17,512.0
175.0,33,186.0,1.7064220183486238,6.206186163527623,23,636.0,0.019850891124793678,23,636.0
180.0,43,365.0,3.5436893203883497,4.945906452053211,23,751.0,0.03904249163136154,23,751.0
185.0,55,609.0,5.587155963302752,4.087023048025946,23,866.0,0.0,23,866.0
190.0,67,915.0,8.714285714285714,3.5423869123565477,23,981.0,0.0,23,981.0
195.0,73,1266.0,11.83177570093458,3.214456204796511,23,1096.0,0.002684037338854091,23,1096.0
200.0,63,1143.0,10.39090909090909,3.2365011546416786,9,852.0,0.10453530187964699,9,852.0
205.0,56,843.0,7.460176991150442,3.9434913259683864,1,384.0,0.4657933952033346,1,384.0
210.0,47,609.0,5.205128205128205,4.777103872674051,5,329.0,0.3542327336054605,5,329.0
215.0,38,387.0,3.225,4.940054400826788,10,521.0,0.15469636544420928,10,521.0
220.0,30,178.0,1.3692307692307693,5.245745024732393,15,729.0,0.08935613925336784,15,729.0
225.0,35,207.0,1.5681818181818181,5.475237080622969,23,862.0,0.00013643155610125696,23,862.0
230.0,41,347.0,2.628787878787879,5.034465621732786,23,977.0,0.03948471611202719,23,977.0
235.0,59,595.0,4.68503937007874,4.106097239693718,24,1095.0,0.0,24,1095.0
240.0,54,568.0,4.617886178861789,3.5968120739382283,9,878.0,0.2012378016446327,9,878.0
245.0,52,452.0,3.7049180327868854,3.2506349954330935,4,507.0,0.26370336497381536,4,507.0
250.0,50,433.0,3.464,4.2945026603986145,7,344.0,0.3071601988904355,7,344.0
255.0,43,388.0,2.8955223880597014,5.140037605927934,7,350.0,0.34419413215013733,7,350.0
260.0,40,328.0,2.342857142857143,5.6035951253226,12,681.0,0.11158462178912565,12,681.0
265.0,30,148.0,1.0571428571428572,5.6839873652760895,14,845.0,0.08255791230363262,14,845.0
270.0,36,214.0,1.5507246376811594,5.5533284759748165,23,939.0,0.00014689023570966457,23,939.0
275.0,41,345.0,2.4820143884892087,5.100760519645028,23,1054.0,0.06939046380900299,23,1054.0
280.0,55,571.0,4.358778625954199,3.748443067557111,24,1171.0,0.0415353805022148,24,1171.0
285.0,57,547.0,4.24031007751938,3.1463001030339415,12,932.0,0.1006083746742072,12,932.0
290.0,52,447.0,3.3609022556390977,3.2104075709820683,5,442.0,0.24429883130347577,5,442.0
295.0,51,451.0,3.3161764705882355,4.430449280990551,6,375.0,0.3584664701727385,6,375.0
300.0,47,425.0,3.0357142857142856,5.151115994300535,8,395.0,0.34142185734175917,8,395.0
305.0,41,415.0,2.8620689655172415,6.231205367087268,9,376.0,0.2642077127608907,9,376.0
310.0,33,303.0,2.1188811188811187,6.133797293512196,12,660.0,0.1857921067589088,12,660.0
315.0,27,121.0,0.8461538461538461,5.672567411455009,15,713.0,0.10402037204134693,15,713.0
320.0,37,204.0,1.4366197183098592,5.628263475996182,24,806.0,0.02308724695394618,24,806.0
325.0,49,365.0,2.6258992805755397,4.981417749903647,24,926.0,0.039947500051304166,24,926.0
330.0,53,592.0,4.451127819548872,4.243789875872183,24,1046.0,0.03727722492618234,24,1046.0
335.0,68,894.0,6.6716417910447765,3.494495164590418,24,1166.0,0.0006308470456671372,24,1166.0
340.0,64,825.0,6.156716417910448,2.9143642375708994,9,913.0,0.0850412932033269,9,913.0
345.0,64,666.0,4.897058823529412,3.2874686815198686,2,496.0,0.30160052591014214,2,496.0
350.0,60,631.0,4.475177304964539,4.329229877716658,3,332.0,0.5287452284278097,3,332.0
355.0,57,554.0,3.9014084507042255,4.642568541938796,9,423.0,0.2936569570259722,9,423.0
360.0,44,441.0,3.0413793103448277,4.813416726705821,11,747.0,0.10256661668662014,11,747.0
365.0,46,315.0,2.032258064516129,5.018234303798516,17,944.0,0.10163743687361455,17,944.0
370.0,48,308.0,2.0533333333333332,4.883090827876604,24,1038.0,0.04009214539396618,24,1038.0
375.0,53,446.0,3.1188811188811187,4.3735965070993865,24,1158.0,4.645273922980027e-07,24,1158.0
380.0,56,615.0,4.456521739130435,3.813381916348161,24,1278.0,0.0,24,1278.0
385.0,55,554.0,4.043795620437956,3.3166952785343096,8,990.0,0.24075495454422766,8,990.0
390.0,55,427.0,3.0942028985507246,3.3345625931031835,3,573.0,0.29052533161896266,3,573.0
395.0,55,424.0,3.0285714285714285,3.9241839100227724,8,463.0,0.2995627632598641,8,463.0
400.0,52,356.0,2.389261744966443,3.8943743515740197,12,834.0,0.12491838008260252,12,834.0
405.0,49,302.0,1.973856209150327,4.267917003613141,15,1046.0,0.05203801507102636,15,1046.0
410.0,57,326.0,2.1032258064516127,3.9359310705146093,23,1193.0,0.0395033704729816,23,1193.0
415.0,63,482.0,3.150326797385621,3.5854954806520145,24,1313.0,3.677057242686089e-07,24,1313.0
420.0,65,693.0,4.880281690140845,2.6916329141513926,24,1433.0,0.11201605611290569,24,1433.0
425.0,72,950.0,6.643356643356643,2.3203787680082213,24,1553.0,0.01434491177868617,24,1553.0
430.0,83,1291.0,8.965277777777779,2.0566155714201226,24,1673.0,0.0,24,1673.0
435.0,97,1740.0,11.52317880794702,1.7358151677182934,24,1793.0,0.027670217098065907,24,1793.0
440.0,91,1631.0,10.322784810126583,1.9326455483651954,9,1381.0,0.0803344439181118,9,1381.0
445.0,92,1418.0,8.753086419753087,2.7349649657354576,2,815.0,0.3497442874028899,2,815.0
450.0,90,1365.0,8.425925925925926,3.254747689134316,5,786.0,0.3694884039208948,5,786.0
455.0,82,1178.0,7.182926829268292,3.347906141801281,8,1197.0,0.2081300254079305,8,1197.0
460.0,81,1028.0,6.155688622754491,3.29392639938066,18,1573.0,0.08011626881414279,18,1573.0
465.0,81,1041.0,6.347560975609756,3.1807842418436443,23,1738.0,0.0003583853806017403,23,1738.0
470.0,81,1020.0,6.296296296296297,2.9631559352089476,24,1858.0,0.0,24,1858.0
475.0,75,967.0,6.2387096774193544,2.784829555577667,24,1978.0,0.0,24,1978.0
480.0,73,1005.0,6.74496644295302,2.622981326849518,24,2098.0,0.0366190647632711,24,2098.0
485.0,85,1358.0,8.993377483443709,2.2696739313367744,24,2218.0,0.0,24,2218.0
490.0,84,1263.0,8.254901960784315,1.9706809707122732,8,1692.0,0.17230897042663335,8,1692.0
495.0,83,1108.0,7.012658227848101,2.36610370346916,3,828.0,0.3852014745203497,3,828.0
500.0,84,1050.0,6.441717791411043,2.902075219210996,6,692.0,0.29400262081039846,6,692.0
505.0,83,957.0,5.696428571428571,2.895305388888295,11,1476.0,0.11407020046286932,11,1476.0
510.0,80,851.0,4.976608187134503,3.509330175221465,17,1937.0,0.08157950655255314,17,1937.0
