step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.156580932078261,0,0.0,0.3690226370575715,0,0.0
10.0,3,0.0,0.0,9.819580874217325,1,0.0,0.7647209835697697,1,0.0
15.0,2,1.0,0.041666666666666664,6.23551216372585,1,1.0,0.4085114136413647,1,1.0
20.0,12,34.0,1.3076923076923077,5.253931737683611,11,34.0,0.18660444813506047,11,34.0
25.0,15,103.0,3.9615384615384617,3.8673024188726064,15,103.0,0.03578830901217832,15,103.0
30.0,17,183.0,6.535714285714286,3.706138691143349,17,183.0,0.06868864526981282,17,183.0
35.0,20,270.0,9.310344827586206,3.114880732534554,18,270.0,0.09258084555588367,18,270.0
40.0,19,364.0,12.551724137931034,1.9418248166100447,19,364.0,0.04602044543263867,19,364.0
45.0,16,322.0,10.387096774193548,2.798218681222334,16,394.0,0.07218783808175595,16,394.0
50.0,15,371.0,11.242424242424242,4.172104208279257,14,394.0,0.1225789166591786,14,394.0
55.0,15,445.0,12.027027027027026,4.643604050464554,15,446.0,0.11190083891984876,15,446.0
60.0,18,533.0,14.026315789473685,5.159237609002751,18,534.0,0.11517376877558731,18,534.0
65.0,18,492.0,14.057142857142857,3.656161029274714,18,537.0,0.13187411667090065,18,537.0
70.0,22,590.0,16.38888888888889,2.793666424611787,21,590.0,0.0917651957668923,21,590.0
75.0,27,713.0,18.763157894736842,2.9812545429062083,25,708.0,0.038344068228547044,25,708.0
80.0,29,838.0,19.952380952380953,2.6611350744413977,27,839.0,0.030790977467746648,27,839.0
85.0,29,981.0,23.357142857142858,2.8129284537897763,29,982.0,0.06110389497682926,29,982.0
90.0,32,1131.0,27.585365853658537,1.4650025833421536,32,1132.0,0.028653969132485548,32,1132.0
95.0,38,1311.0,29.133333333333333,1.0017923386406313,37,1309.0,0.005316370397365479,37,1309.0
100.0,42,1507.0,31.395833333333332,0.95561559642218,38,1499.0,0.025568376683552708,38,1499.0
105.0,42,1714.0,33.6078431372549,1.302490579591713,40,1696.0,0.027575280312197623,40,1696.0
110.0,48,1938.0,35.888888888888886,0.6586047694411802,43,1906.0,0.017106700028256754,43,1906.0
115.0,41,1414.0,24.80701754385965,1.1257124873694289,37,1826.0,0.03720848712230113,37,1826.0
120.0,45,1448.0,23.737704918032787,1.3589981396354327,35,1680.0,0.026103122522073877,35,1680.0
125.0,50,1662.0,25.96875,1.5907204947137237,40,1744.0,0.027809707122505165,40,1744.0
130.0,47,1874.0,29.28125,2.3281337907666773,39,1836.0,0.05104651929154518,39,1836.0
135.0,47,2106.0,32.4,2.1631451348217756,39,1924.0,0.022224200415068746,39,1924.0
140.0,50,2352.0,36.75,2.224850116999716,41,2126.0,0.0228707931597636,41,2126.0
145.0,54,2606.0,41.36507936507937,1.2872777441221397,42,2332.0,0.007026014950432226,42,2332.0
150.0,57,2879.0,44.292307692307695,1.0018445516254275,43,2547.0,2.467290765738599e-07,43,2547.0
155.0,56,3158.0,47.84848484848485,1.394376556163762,43,2762.0,0.05574178541083428,43,2762.0
160.0,61,3447.0,51.44776119402985,0.4906202302466668,46,2983.0,0.03802890630529338,46,2983.0
165.0,63,3761.0,54.507246376811594,0.7656675888731834,46,3213.0,0.0,46,3213.0
170.0,64,4079.0,57.45070422535211,0.5976580265228264,46,3443.0,0.010064801674258876,46,3443.0
175.0,68,4410.0,61.25,0.20827606172659788,48,3681.0,3.0813094936831814e-07,48,3681.0
180.0,42,2300.0,31.08108108108108,1.9028439836366693,20,2591.0,0.07667873692806278,20,2591.0
185.0,39,2129.0,27.294871794871796,4.534769010088958,20,2027.0,0.19106315264778587,20,2027.0
190.0,33,2257.0,29.31168831168831,5.978595974012867,20,1849.0,0.12113206236267493,20,1849.0
195.0,37,2434.0,35.794117647058826,5.172550073643782,23,1951.0,0.16088946158356404,23,1951.0
200.0,41,2626.0,43.766666666666666,3.3444987119657257,25,2044.0,0.03795110058078534,25,2044.0
205.0,42,2830.0,52.407407407407405,2.7490356011163932,25,2169.0,0.04991652924681969,25,2169.0
210.0,44,3042.0,59.64705882352941,1.4716079032025953,26,2296.0,0.06314454580951577,26,2296.0
215.0,45,3225.0,62.01923076923077,0.8663066748901984,27,2427.0,0.0008618711692253145,27,2427.0
220.0,34,2177.0,41.075471698113205,2.169385790657396,16,2021.0,0.10562833174908971,16,2021.0
225.0,23,1145.0,20.818181818181817,3.338066438504886,9,1097.0,0.199975597147703,9,1097.0
230.0,20,485.0,8.660714285714286,4.274040071574527,15,1139.0,0.14039870051909845,15,1139.0
235.0,22,506.0,9.37037037037037,4.204350220668979,22,1577.0,0.13599450848029637,22,1577.0
240.0,20,254.0,4.618181818181818,3.0996785227028147,18,1485.0,0.029986502337170273,18,1485.0
245.0,23,320.0,5.517241379310345,4.009306770317076,20,1450.0,0.12108976620542047,20,1450.0
250.0,27,437.0,7.283333333333333,4.702527557474477,20,1417.0,0.12392219049051523,20,1417.0
255.0,32,585.0,10.446428571428571,4.326297232323658,24,1429.0,0.10583780766563676,24,1429.0
260.0,34,751.0,14.442307692307692,3.343814144095149,26,1531.0,0.06817959168844431,26,1531.0
265.0,34,888.0,17.76,3.1425461147518545,28,1668.0,0.02864821667783343,28,1668.0
270.0,36,1068.0,22.72340425531915,2.057004272560567,30,1818.0,0.016713194470819516,30,1818.0
275.0,40,1260.0,26.80851063829787,1.0320074493044578,33,1980.0,0.035015971846621065,33,1980.0
280.0,44,1469.0,29.979591836734695,0.8525032305974435,37,2159.0,0.022987928151072576,37,2159.0
285.0,44,1685.0,32.40384615384615,1.1293132738252696,38,2345.0,0.043940477293091425,38,2345.0
290.0,39,1450.0,26.363636363636363,1.5573879711596696,32,2293.0,0.0372872893301734,32,2293.0
295.0,41,1614.0,27.82758620689655,2.2772000236819996,33,2281.0,0.034129369265161795,33,2281.0
300.0,43,1819.0,29.81967213114754,2.3718954494564937,35,2381.0,0.034715045738347515,35,2381.0
305.0,46,2039.0,32.88709677419355,2.4026133658025866,38,2561.0,0.06222854235628482,38,2561.0
310.0,50,2279.0,37.36065573770492,1.4975248736159492,40,2757.0,0.06462736575774052,40,2757.0
315.0,55,2540.0,42.333333333333336,0.9170946747327335,43,2963.0,0.02149872062599234,43,2963.0
320.0,55,2798.0,43.71875,1.1138459870122244,42,3172.0,0.006486496540621888,42,3172.0
325.0,54,3067.0,46.46969696969697,1.5333092596495166,43,3386.0,0.009199108902997893,43,3386.0
330.0,57,3344.0,52.25,0.819657277192641,43,3601.0,0.006280212687882091,43,3601.0
335.0,60,3640.0,56.875,0.31204836366786604,46,3829.0,1.6118549586439389e-06,46,3829.0
340.0,62,3944.0,59.75757575757576,0.2785108305437368,46,4059.0,0.004440371136089745,46,4059.0
345.0,65,4262.0,62.6764705882353,0.21879185321321257,47,4294.0,0.0,47,4294.0
350.0,66,4590.0,63.75,0.4956195222772164,47,4529.0,0.0,47,4529.0
355.0,41,2570.0,34.729729729729726,2.1449524396026165,20,3483.0,0.10228486526727454,20,3483.0
360.0,34,2356.0,29.82278481012658,4.720962317692226,21,2948.0,0.17560232659430203,21,2948.0
365.0,35,2500.0,31.645569620253166,5.811356954165448,22,2912.0,0.2031247419838516,22,2912.0
370.0,38,2679.0,39.39705882352941,4.766288039226163,26,2955.0,0.05633390412370853,26,2955.0
375.0,41,2878.0,47.96666666666667,2.984710693792846,28,3087.0,0.033467830391665024,28,3087.0
380.0,43,3087.0,56.127272727272725,2.3601602288023544,28,3227.0,0.05073991995628332,28,3227.0
385.0,43,3271.0,60.574074074074076,1.9261273420634686,28,3367.0,0.06368328075110569,28,3367.0
390.0,47,3493.0,65.90566037735849,1.0573583455626308,30,3511.0,0.0363202324492817,30,3511.0
395.0,34,2474.0,44.981818181818184,1.9538068995334639,18,2973.0,0.10559354082507366,18,2973.0
400.0,24,1509.0,26.017241379310345,3.490052073697166,12,1969.0,0.17237872068807872,12,1969.0
405.0,19,696.0,12.0,4.822970339893546,14,1526.0,0.19883578989016426,14,1526.0
410.0,23,620.0,10.87719298245614,3.4613603097108276,21,2050.0,0.07615816205415472,21,2050.0
415.0,21,308.0,5.4035087719298245,3.4740817640439525,20,2043.0,0.05648383452271047,20,2043.0
420.0,22,392.0,7.127272727272727,4.147718485560817,21,1885.0,0.1155513450125483,21,1885.0
425.0,28,515.0,8.879310344827585,4.022342818571839,21,1926.0,0.10013828646247518,21,1926.0
430.0,33,667.0,11.910714285714286,4.343420007814559,24,2032.0,0.06308747761117163,24,2032.0
435.0,32,806.0,15.5,3.7496511181934835,25,2157.0,0.08445727273634095,25,2157.0
440.0,36,975.0,20.3125,2.528125429526813,30,2296.0,0.03300020142165936,30,2296.0
445.0,38,1155.0,25.108695652173914,1.5209577960874763,31,2446.0,0.015528648334670693,31,2446.0
450.0,39,1347.0,28.0625,1.4652795686742401,33,2608.0,0.022694266572851837,33,2608.0
455.0,41,1546.0,29.73076923076923,1.9595457516541779,34,2777.0,0.058298691142411166,34,2777.0
460.0,44,1755.0,34.411764705882355,0.912300474991022,38,2956.0,0.042197665054757034,38,2956.0
465.0,42,1460.0,27.037037037037038,0.8904961364433682,35,2889.0,0.028956008283935318,35,2889.0
470.0,42,1607.0,29.21818181818182,1.9059683806820933,34,2849.0,0.031655236681729225,34,2849.0
475.0,44,1806.0,29.60655737704918,2.619408808703834,34,2917.0,0.009065312871190521,34,2917.0
480.0,42,2010.0,33.5,2.7116958746278295,34,3077.0,0.027646904810626993,34,3077.0
485.0,46,2234.0,39.19298245614035,1.9500031694512403,37,3258.0,0.07573884035107724,37,3258.0
490.0,49,2474.0,44.17857142857143,0.8724467728877138,40,3453.0,0.010928349213805545,40,3453.0
495.0,53,2729.0,47.05172413793103,0.8856710354545166,41,3657.0,0.01516539087698073,41,3657.0
500.0,53,2991.0,49.85,0.7606351967934624,41,3862.0,0.0151940269284756,41,3862.0
505.0,56,3263.0,50.984375,0.9130403320332002,43,4074.0,0.019931071650383273,43,4074.0
510.0,57,3542.0,55.34375,0.7753689062286827,43,4289.0,0.004555660417364039,43,4289.0
515.0,62,3843.0,58.22727272727273,0.30367018654014516,45,4512.0,0.00016751897557713122,45,4512.0
520.0,63,4158.0,62.059701492537314,0.43472289178235735,46,4742.0,0.010989019702941985,46,4742.0
525.0,64,4477.0,63.957142857142856,0.4809001887356682,46,4972.0,0.024652262519932865,46,4972.0
530.0,44,2463.0,32.84,1.9143501662519604,21,3913.0,0.09234521834181093,21,3913.0
535.0,34,2275.0,29.93421052631579,4.557193543631303,21,3404.0,0.19029561226154887,21,3404.0
540.0,36,2428.0,31.128205128205128,5.1606087419653885,21,3263.0,0.14653963674850984,21,3263.0
545.0,35,2600.0,36.111111111111114,4.9847835549964055,23,3357.0,0.09435536803089262,23,3357.0
550.0,39,2785.0,45.65573770491803,3.5226974441693746,26,3469.0,0.09434352221242692,26,3469.0
555.0,42,2938.0,51.54385964912281,2.496043577939664,26,3512.0,0.05103606189123279,26,3512.0
560.0,37,3062.0,55.67272727272727,2.660104544536546,23,3632.0,0.051882580520417505,23,3632.0
565.0,40,3255.0,62.59615384615385,1.8606986472152025,25,3763.0,0.060380029476423944,25,3763.0
570.0,34,2291.0,43.22641509433962,1.7427718914870973,19,3116.0,0.04427699763235949,19,3116.0
575.0,22,1278.0,23.666666666666668,3.96792281262544,10,1829.0,0.19319677238619345,10,1829.0
580.0,19,596.0,10.642857142857142,4.142020542083829,11,1438.0,0.21428536627217706,11,1438.0
