step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.173303374482009,0,0.0,0.42893188635192936,0,0.0
10.0,3,0.0,0.0,9.868750668684626,1,0.0,0.7981151335315663,1,0.0
15.0,3,3.0,0.125,5.906020981549507,2,3.0,0.37890955907711066,2,3.0
20.0,14,52.0,2.0,4.4736247043524875,12,48.0,0.19344257222047,12,48.0
25.0,16,120.0,4.444444444444445,3.486273405116595,16,120.0,0.05552226651977804,16,120.0
30.0,16,170.0,6.071428571428571,2.7449950767948255,16,170.0,0.10108788329831134,16,170.0
35.0,17,178.0,5.933333333333334,3.0794052298092796,14,212.0,0.1377041182063751,14,212.0
40.0,17,263.0,8.21875,3.0229703148273117,16,269.0,0.07022950403103619,16,269.0
45.0,22,355.0,10.441176470588236,3.4252729669642505,22,368.0,0.020991662193844077,22,368.0
50.0,19,355.0,10.142857142857142,2.9588581485691328,18,368.0,0.04794039778120669,18,368.0
55.0,13,267.0,7.416666666666667,4.25589225838043,13,364.0,0.10944086972926993,13,364.0
60.0,15,331.0,8.710526315789474,5.528728619686776,13,354.0,0.19486310413429975,13,354.0
65.0,17,402.0,9.804878048780488,5.106740042592508,15,407.0,0.17922598068059012,15,407.0
70.0,17,472.0,12.756756756756756,3.807854722258529,17,485.0,0.11222388135331983,17,485.0
75.0,20,560.0,14.736842105263158,4.5649237691473274,19,573.0,0.08206954366506912,19,573.0
80.0,23,620.0,15.897435897435898,3.202127084071678,21,620.0,0.030649539749390733,21,620.0
85.0,22,707.0,18.605263157894736,3.512492337691863,22,707.0,0.09959099044730542,22,707.0
90.0,25,824.0,21.68421052631579,2.990991426724298,25,824.0,0.05711598060098207,25,824.0
95.0,31,963.0,24.075,1.7998037027239604,31,963.0,0.008444908666625275,31,963.0
100.0,29,794.0,18.904761904761905,1.7334498642272065,27,794.0,0.04313471817661439,27,794.0
105.0,15,462.0,10.5,5.08234130841949,14,661.0,0.21307833054380254,14,661.0
110.0,18,540.0,11.48936170212766,6.528517040055406,16,534.0,0.10873500209568512,16,534.0
115.0,22,623.0,13.543478260869565,5.339899569500447,21,622.0,0.04836315524289597,21,622.0
120.0,22,606.0,15.15,3.578344818416729,18,600.0,0.05617709216994102,18,600.0
125.0,15,448.0,12.444444444444445,4.09820962834969,12,566.0,0.13859726488699264,12,566.0
130.0,14,477.0,12.23076923076923,5.328139857064877,12,525.0,0.18167475666882366,12,525.0
135.0,15,540.0,13.5,4.9682754311357415,14,553.0,0.20843612232762534,14,553.0
140.0,19,624.0,16.0,3.945110587024027,16,614.0,0.13983581641969847,16,614.0
145.0,20,693.0,17.76923076923077,3.3312843602976656,17,692.0,0.14450623029180454,17,692.0
150.0,23,783.0,18.642857142857142,3.136565505647202,20,783.0,0.019001200968820343,20,783.0
155.0,20,881.0,21.48780487804878,4.4970962776731715,20,882.0,0.1335557184349032,20,882.0
160.0,24,992.0,22.545454545454547,3.4650049960306,23,991.0,0.0877866610244896,23,991.0
165.0,28,1125.0,26.785714285714285,2.9291875833560534,26,1115.0,0.0008014037764078515,26,1115.0
170.0,30,1271.0,29.558139534883722,3.193431420158122,28,1251.0,0.10049123528798902,28,1251.0
175.0,33,1424.0,33.116279069767444,2.172341033110728,30,1394.0,0.00016442980530780203,30,1394.0
180.0,30,1543.0,35.06818181818182,2.580854967863462,30,1544.0,0.059466082867246445,30,1544.0
185.0,29,1406.0,29.291666666666668,2.470862723036513,27,1407.0,0.06500382709021185,27,1407.0
190.0,17,1065.0,22.659574468085108,4.815745050255085,16,1282.0,0.1673827551646291,16,1282.0
195.0,21,1161.0,23.693877551020407,6.162519699629448,20,1158.0,0.1427784531051695,20,1158.0
200.0,25,1259.0,25.18,4.56923388384402,23,1263.0,0.054430672042709564,23,1263.0
205.0,23,1160.0,26.976744186046513,3.797325416585036,22,1164.0,0.07313697557850556,22,1164.0
210.0,21,1080.0,27.692307692307693,3.0645869470251283,20,1156.0,0.10764660756068067,20,1156.0
215.0,25,1195.0,29.146341463414632,3.187108440082427,24,1199.0,0.012992207805301177,24,1199.0
220.0,27,1327.0,30.86046511627907,3.5260608348240696,27,1331.0,0.04735971312876999,27,1331.0
225.0,28,1320.0,31.428571428571427,1.3437661221578552,26,1324.0,0.04218829016239665,26,1324.0
230.0,19,1227.0,27.886363636363637,4.2474513389430255,17,1313.0,0.07956453691686846,17,1313.0
235.0,21,1320.0,28.695652173913043,4.946060547847789,18,1334.0,0.19819868467273666,18,1334.0
240.0,24,1424.0,30.956521739130434,4.220994773550224,22,1414.0,0.05041838490160635,22,1414.0
245.0,23,1532.0,34.044444444444444,4.672548767449376,22,1520.0,0.11144724937888056,22,1520.0
250.0,26,1649.0,36.644444444444446,3.732428190335906,23,1632.0,0.10507442348970186,23,1632.0
255.0,29,1784.0,41.48837209302326,3.515131963337283,28,1762.0,0.08878888381927195,28,1762.0
260.0,30,1931.0,43.88636363636363,2.5737476858082187,28,1902.0,0.07968996483304495,28,1902.0
265.0,32,2090.0,47.5,2.4540664090768187,30,2051.0,0.051491038107898485,30,2051.0
270.0,33,2245.0,49.888888888888886,2.642221781931551,31,2205.0,0.060032744206550526,31,2205.0
275.0,36,2416.0,51.40425531914894,1.7599293102718039,33,2366.0,0.029941545507625105,33,2366.0
280.0,38,2500.0,51.02040816326531,1.8713022092163576,34,2436.0,0.05260586843389573,34,2436.0
285.0,36,2597.0,50.92156862745098,2.2929842403514447,32,2538.0,0.06591200026645633,32,2538.0
290.0,39,2783.0,51.53703703703704,2.3663552874901463,34,2683.0,0.00047538247819806773,34,2683.0
295.0,44,2992.0,53.42857142857143,1.822998933328062,36,2863.0,0.013204956626882614,36,2863.0
300.0,44,3146.0,53.32203389830509,1.3425488585894791,34,2982.0,0.014130499636420706,34,2982.0
305.0,41,3307.0,54.21311475409836,2.440161807473008,31,3112.0,0.1059380797894077,31,3112.0
310.0,44,3522.0,54.184615384615384,2.7871726149880605,32,3254.0,0.10416852023533693,32,3254.0
315.0,49,3749.0,58.578125,2.2228856490656526,36,3421.0,0.06703757904946882,36,3421.0
320.0,53,3992.0,59.582089552238806,1.7283178362487774,38,3600.0,0.0033095754528288356,38,3600.0
325.0,52,4237.0,66.203125,1.5596948334304437,37,3778.0,0.02448994750975882,37,3778.0
330.0,56,4505.0,69.3076923076923,1.2564122065892414,40,3971.0,0.01690023747773005,40,3971.0
335.0,57,4789.0,72.56060606060606,1.1632118484521234,41,4175.0,0.007247530486675054,41,4175.0
340.0,57,4458.0,66.53731343283582,0.5815662735423288,38,3757.0,0.004642410790874499,38,3757.0
345.0,35,2987.0,43.289855072463766,2.672240251249284,19,3264.0,0.11311360183051107,19,3264.0
350.0,30,2776.0,38.02739726027397,5.4277706089202225,22,2723.0,0.1391488858681357,22,2723.0
355.0,29,2858.0,40.82857142857143,4.899031496441562,25,3019.0,0.12298391144193135,25,3019.0
360.0,33,2905.0,44.015151515151516,3.3055044636812814,28,3058.0,0.03929475585599551,28,3058.0
365.0,31,2858.0,48.440677966101696,2.9722992162917046,22,3041.0,0.13724784576071875,22,3041.0
370.0,32,2985.0,48.9344262295082,3.7381157460396577,24,3077.0,0.08840376420643115,24,3077.0
375.0,38,3155.0,51.721311475409834,3.036903619127891,29,3215.0,0.041261391262298594,29,3215.0
380.0,39,3185.0,53.983050847457626,2.934319696851708,29,3200.0,0.06471585997143879,29,3200.0
385.0,43,3189.0,54.05084745762712,2.3436118062603164,31,3223.0,0.05986972920069746,31,3223.0
390.0,49,3414.0,58.86206896551724,1.706850889342643,33,3316.0,0.061067237629538695,33,3316.0
395.0,47,3635.0,62.672413793103445,1.2936870229704245,33,3481.0,0.04316873346753874,33,3481.0
400.0,44,2770.0,43.96825396825397,1.689932675371695,29,2534.0,0.018078547983143498,29,2534.0
405.0,36,1005.0,16.20967741935484,2.8179463151502677,23,2026.0,0.09558126571033361,23,2026.0
410.0,44,1205.0,18.53846153846154,2.81937763972019,27,2024.0,0.03873376799528786,27,2024.0
415.0,46,1393.0,21.106060606060606,2.5947115662716946,30,2153.0,0.03034225697798807,30,2153.0
420.0,49,1624.0,26.62295081967213,1.3722234760986105,31,2302.0,0.02385989229095664,31,2302.0
425.0,55,1882.0,29.873015873015873,1.2304063695997822,33,2464.0,0.05492199009280859,33,2464.0
430.0,55,2148.0,33.5625,1.3804592579896293,33,2629.0,0.056445699668678156,33,2629.0
435.0,58,2426.0,36.75757575757576,0.7285893763097637,35,2800.0,0.019616318726668146,35,2800.0
440.0,56,2326.0,35.24242424242424,0.6971283966403949,32,2412.0,0.018268296476557335,32,2412.0
