step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.929060050239786,0,0.0,0.475442574559733,0,0.0
10.0,3,0.0,0.0,9.696121782328706,1,0.0,0.8130233015253231,1,0.0
15.0,6,7.0,0.2916666666666667,5.97691330896279,5,7.0,0.39679786297281244,5,7.0
20.0,13,52.0,2.0,4.3138642266941005,12,52.0,0.16113314661842407,12,52.0
25.0,16,125.0,4.8076923076923075,3.3152570388605174,16,125.0,0.06166375653363508,16,125.0
30.0,17,186.0,6.413793103448276,2.952282129522728,17,186.0,0.08229980228347732,17,186.0
35.0,20,249.0,8.3,3.4453847673466815,18,249.0,0.13502067880867588,18,249.0
40.0,20,344.0,10.75,3.22792917603209,20,344.0,0.05601431237572904,20,344.0
45.0,25,461.0,14.40625,2.0765293544687244,25,461.0,0.023710094782576317,25,461.0
50.0,25,516.0,15.636363636363637,1.266623798683715,24,516.0,0.041858221034207534,24,516.0
55.0,28,613.0,16.56756756756757,1.7503333294565733,27,612.0,0.020205808443381577,27,612.0
60.0,29,758.0,18.48780487804878,2.539650324494737,28,752.0,0.05563999333413244,28,752.0
65.0,32,909.0,20.65909090909091,1.9855755980483685,31,898.0,0.050447281625245956,31,898.0
70.0,37,1077.0,23.933333333333334,1.1782822627399303,34,1056.0,0.049449233479066636,34,1056.0
75.0,40,1268.0,26.97872340425532,1.4683953349356818,35,1230.0,0.045836234211132185,35,1230.0
80.0,42,1467.0,27.67924528301887,1.8171091640790875,35,1405.0,0.020249253571918657,35,1405.0
85.0,42,1676.0,30.472727272727273,1.5526701267022454,37,1589.0,0.045616215120478414,37,1589.0
90.0,48,1906.0,35.2962962962963,0.7165897766835294,39,1781.0,0.03467650288620325,39,1781.0
95.0,48,1940.0,34.03508771929825,0.4197329626752098,39,1770.0,0.002893083348246116,39,1770.0
100.0,42,1748.0,29.133333333333333,2.2013622479278125,31,1758.0,0.0700263218957864,31,1758.0
105.0,39,1911.0,30.822580645161292,3.5212138736375027,31,1751.0,0.07248303344061428,31,1751.0
110.0,43,2103.0,34.47540983606557,2.665000163334745,35,1907.0,0.04362528724913629,35,1907.0
115.0,44,2300.0,38.983050847457626,1.8215586507762602,36,2061.0,0.018646566271393623,36,2061.0
