step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.371334891106623,0,0.0,0.5288976514037778,0,0.0
10.0,2,0.0,0.0,9.889865910953473,1,0.0,0.7836551649020809,1,0.0
15.0,7,10.0,0.43478260869565216,6.263885876485719,5,9.0,0.4375674473873118,5,9.0
20.0,13,51.0,2.04,4.741975003742338,12,51.0,0.1520625400511868,12,51.0
25.0,15,119.0,4.576923076923077,3.432192967584162,15,119.0,0.088818245448868,15,119.0
30.0,16,169.0,5.633333333333334,2.7821515190257227,16,169.0,0.0845728014394798,16,169.0
35.0,17,224.0,7.0,4.224472684806166,16,224.0,0.0952684868367496,16,224.0
40.0,20,314.0,9.515151515151516,3.0602941409207554,18,310.0,0.08781963261475657,18,310.0
45.0,24,424.0,12.114285714285714,2.8967219887581557,23,417.0,0.037660754162897596,23,417.0
50.0,26,547.0,15.628571428571428,2.50796080066749,24,533.0,0.09203843324177965,24,533.0
55.0,29,683.0,17.512820512820515,1.4239105299068815,25,654.0,0.01637397646382863,25,654.0
60.0,33,837.0,20.414634146341463,1.9763858048430119,27,787.0,0.029453117276841415,27,787.0
65.0,34,999.0,22.2,1.6298994470859536,29,924.0,0.04682739130395678,29,924.0
70.0,36,1021.0,21.270833333333332,1.3086658357446286,28,914.0,0.07204970322689143,28,914.0
75.0,31,667.0,13.612244897959183,1.4954144321276601,19,928.0,0.06257316797755524,19,928.0
80.0,33,687.0,12.49090909090909,2.0057874395705526,18,827.0,0.08273749082956255,18,827.0
85.0,28,806.0,13.89655172413793,3.420458746698655,14,791.0,0.10271138557191144,14,791.0
90.0,25,904.0,15.859649122807017,3.8531011911411603,14,817.0,0.18440483368592822,14,817.0
95.0,32,1035.0,17.844827586206897,2.8478955461956983,16,765.0,0.10498807277913061,16,765.0
100.0,38,1207.0,21.945454545454545,2.3061642253500745,21,861.0,0.10528137899116942,21,861.0
105.0,37,1061.0,18.29310344827586,1.9908581661075044,19,632.0,0.08148924919210412,19,632.0
110.0,32,581.0,10.192982456140351,2.4627677805875083,17,658.0,0.07514582311962185,17,658.0
115.0,33,534.0,9.05084745762712,3.308505198673244,23,691.0,0.08045597409802978,23,691.0
120.0,30,515.0,8.879310344827585,2.9975792701847137,26,906.0,0.064707940462056,26,906.0
125.0,33,613.0,10.216666666666667,2.919786795665665,29,1021.0,0.003731820651553015,29,1021.0
130.0,35,645.0,10.932203389830509,3.0389686207302367,24,1098.0,0.11313594404372596,24,1098.0
135.0,32,718.0,12.379310344827585,2.859209885306535,21,1088.0,0.07323011724733618,21,1088.0
140.0,33,811.0,13.745762711864407,3.6486572624368683,21,1121.0,0.1558231847023239,21,1121.0
145.0,39,991.0,18.69811320754717,2.518586685733355,23,1184.0,0.11107261079160298,23,1184.0
150.0,42,1195.0,21.339285714285715,2.198629922804595,24,1300.0,0.08961138525592781,24,1300.0
155.0,44,1304.0,23.70909090909091,1.0767448317156632,24,1159.0,0.05460828048123965,24,1159.0
160.0,36,1185.0,20.084745762711865,2.2066096135121214,22,1152.0,0.13509849989562472,22,1152.0
165.0,33,1143.0,17.059701492537314,3.6141003231807676,25,1182.0,0.17304826551977318,25,1182.0
170.0,33,1153.0,17.208955223880597,3.015880613835814,30,1498.0,0.08545142599630426,30,1498.0
175.0,39,1155.0,17.238805970149254,2.2253261888219216,36,1503.0,0.02232388989753657,36,1503.0
180.0,41,1062.0,16.338461538461537,2.1663066423967576,35,1498.0,0.05957481619483029,35,1498.0
185.0,52,1279.0,17.52054794520548,2.1557904164918744,35,1576.0,0.029421510015610306,35,1576.0
190.0,55,1541.0,21.704225352112676,1.9768256055465312,38,1736.0,0.07960153677245188,38,1736.0
195.0,60,1827.0,25.375,1.1737545151923807,39,1929.0,0.04294244626727926,39,1929.0
200.0,62,2107.0,29.26388888888889,1.0239491312019526,40,2128.0,0.0003582463693098789,40,2128.0
205.0,63,2414.0,33.52777777777778,1.074199225158319,41,2332.0,4.952711273823059e-07,41,2332.0
210.0,65,2735.0,38.521126760563384,0.8606418111402329,41,2537.0,0.0223436182361952,41,2537.0
215.0,66,3060.0,42.5,0.8115622240615935,41,2742.0,0.0,41,2742.0
220.0,67,3387.0,47.70422535211268,0.3532033843248172,41,2947.0,0.02717984671660947,41,2947.0
225.0,69,3723.0,51.708333333333336,0.35305762252621553,42,3155.0,3.8902552224162805e-06,42,3155.0
230.0,69,4064.0,56.44444444444444,0.510714797675296,42,3365.0,0.0,42,3365.0
235.0,69,4409.0,61.236111111111114,0.29838929976026013,42,3575.0,0.0,42,3575.0
240.0,66,4435.0,60.75342465753425,0.5455031509507504,39,3438.0,0.012672199386391381,39,3438.0
245.0,56,3843.0,48.64556962025316,1.3639890985378804,28,3346.0,0.07170103091792174,28,3346.0
250.0,58,3789.0,47.962025316455694,2.0221588644822353,26,3212.0,0.1301129597817162,26,3212.0
255.0,55,3802.0,48.12658227848101,1.3925562304688603,26,3338.0,0.04179539954764041,26,3338.0
260.0,60,4002.0,50.65822784810127,1.0884076899608495,34,3541.0,0.013383937943634424,34,3541.0
265.0,62,4296.0,55.79220779220779,1.3453791153389019,35,3761.0,0.026510625711602957,35,3761.0
270.0,64,4607.0,61.42666666666667,1.200666801928715,38,3944.0,0.03871891461801387,38,3944.0
275.0,68,4943.0,66.79729729729729,0.9199648300095994,40,4142.0,1.7892089583997545e-06,40,4142.0
280.0,63,4514.0,63.57746478873239,0.652464034374496,35,3573.0,0.025234761170877168,35,3573.0
285.0,53,3673.0,51.013888888888886,1.8312879738872294,25,3062.0,0.06680312254235997,25,3062.0
290.0,53,3938.0,54.69444444444444,3.3505131433719133,25,2717.0,0.03539956947437464,25,2717.0
295.0,54,4204.0,63.696969696969695,2.3043511455803447,26,2843.0,0.066344888971257,26,2843.0
300.0,54,4381.0,74.2542372881356,0.6532436493849385,26,2732.0,9.828019173116689e-05,26,2732.0
305.0,48,4344.0,73.62711864406779,1.258141121244278,20,2615.0,0.037731355590071874,20,2615.0
310.0,46,4391.0,71.98360655737704,2.3775546332571467,16,2315.0,0.13000686158677544,16,2315.0
315.0,42,4426.0,75.01694915254237,2.2658517209446254,15,2145.0,0.11701176805155915,15,2145.0
320.0,44,4593.0,77.84745762711864,2.083800236469964,18,2312.0,0.1875023577651018,18,2312.0
325.0,46,4746.0,76.54838709677419,1.5631580473032114,19,2213.0,0.11709642434122901,19,2213.0
330.0,44,4893.0,80.21311475409836,1.3689249423227465,17,2205.0,0.11053831075288198,17,2205.0
335.0,48,5120.0,80.0,1.2983087008100673,21,2300.0,0.08899122580652834,21,2300.0
340.0,54,5371.0,78.98529411764706,1.658799536522232,26,2416.0,0.06137019051220429,26,2416.0
345.0,54,5470.0,82.87878787878788,1.2407061524589866,28,2397.0,0.08010208051397946,28,2397.0
350.0,52,5599.0,84.83333333333333,1.5898743606080814,25,2452.0,0.06764536196891001,25,2452.0
355.0,54,5862.0,87.49253731343283,2.0112503616989867,28,2529.0,0.02104185364641049,28,2529.0
