step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.356880161470424,0,0.0,0.42281203880325996,0,0.0
10.0,2,0.0,0.0,9.956827335654907,1,0.0,0.7506512361646371,1,0.0
15.0,2,1.0,0.043478260869565216,5.652691145547603,1,1.0,0.3531241978999686,1,1.0
20.0,13,40.0,1.6,4.783607996536242,12,40.0,0.17803221466430127,12,40.0
25.0,15,110.0,4.074074074074074,3.633024913310755,15,110.0,0.13499647888573352,15,110.0
30.0,19,196.0,6.32258064516129,2.9168966207281426,19,196.0,0.06401105163333826,19,196.0
35.0,21,296.0,9.25,3.0889332553670608,20,296.0,0.07176925433684855,20,296.0
40.0,25,409.0,12.393939393939394,1.5323456850049835,24,406.0,0.07092136683713597,24,406.0
45.0,24,426.0,11.513513513513514,2.093976022139877,23,477.0,0.05061221011842405,23,477.0
50.0,25,548.0,14.051282051282051,2.9520197731282143,23,533.0,0.09261392218815667,23,533.0
55.0,29,685.0,15.568181818181818,2.33953504950044,25,655.0,0.012404422200590874,25,655.0
60.0,33,839.0,19.511627906976745,2.4412854232034875,27,786.0,0.026550317979427668,27,786.0
65.0,28,798.0,17.733333333333334,2.1410639027834226,23,801.0,0.048238550022922703,23,801.0
70.0,26,787.0,16.395833333333332,3.11283938739723,24,812.0,0.1251078705401347,24,812.0
75.0,32,908.0,18.53061224489796,3.66587929867161,29,930.0,0.01682158291313749,29,930.0
80.0,30,1036.0,20.313725490196077,3.402205776786777,28,1040.0,0.03819674464284809,28,1040.0
85.0,30,1176.0,22.18867924528302,4.692223332993523,28,1172.0,0.02546022637733462,28,1172.0
90.0,30,1326.0,27.06122448979592,4.407261324702939,28,1312.0,0.12639129262418292,28,1312.0
95.0,35,1488.0,33.81818181818182,1.854887055988745,33,1464.0,0.028362252008806228,33,1464.0
100.0,37,1666.0,37.86363636363637,1.8993341696619013,34,1632.0,0.022977312313571033,34,1632.0
105.0,37,1849.0,40.19565217391305,1.6586092969169963,35,1805.0,0.012733182367745058,35,1805.0
110.0,38,2035.0,45.22222222222222,1.6107994509591663,36,1981.0,0.00014162746929700747,36,1981.0
115.0,29,1377.0,30.6,1.6496038716993844,27,1857.0,0.056729945191647785,27,1857.0
120.0,25,707.0,15.042553191489361,2.058930938078885,20,1606.0,0.08942182170689436,20,1606.0
125.0,27,585.0,11.470588235294118,3.133867982196795,21,1414.0,0.07554588273130163,21,1414.0
130.0,26,540.0,10.588235294117647,3.8636753851692123,21,1336.0,0.09392595454320217,21,1336.0
135.0,20,584.0,11.23076923076923,3.844816536014091,20,1197.0,0.061543461860148564,20,1197.0
140.0,23,690.0,14.081632653061224,3.939504689005823,22,1188.0,0.09650935316655798,22,1188.0
145.0,25,804.0,18.272727272727273,3.0273376807528747,24,1196.0,0.07144595028428738,24,1196.0
150.0,28,935.0,20.32608695652174,2.6169346753408775,24,1316.0,0.08000253136127145,24,1316.0
155.0,32,1086.0,24.681818181818183,1.467062739443258,28,1449.0,0.03286887053426157,28,1449.0
160.0,31,1221.0,24.42,1.8440399485868726,26,1437.0,0.07460947701773513,26,1437.0
165.0,33,1370.0,23.620689655172413,3.7004794986596865,25,1442.0,0.15467925121151732,25,1442.0
170.0,35,1530.0,25.93220338983051,3.0231471823874525,28,1515.0,0.09733017539717832,28,1515.0
175.0,42,1724.0,29.220338983050848,1.7787247399571124,33,1670.0,0.057612849996185315,33,1670.0
180.0,38,1283.0,21.74576271186441,1.87661966842217,27,1224.0,0.061356262600153685,27,1224.0
185.0,45,1489.0,22.223880597014926,3.1461011679520565,31,1328.0,0.04776167567674409,31,1328.0
190.0,47,1714.0,25.205882352941178,3.0089570249112705,33,1490.0,0.07950806881628869,33,1490.0
