step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.571983562934524,0,0.0,0.4014220173085417,0,0.0
10.0,2,0.0,0.0,10.39704648322866,1,0.0,0.7644778821145838,1,0.0
15.0,4,4.0,0.17391304347826086,5.916646757745165,3,4.0,0.3461687320279305,3,4.0
20.0,13,48.0,1.92,4.880255065852258,12,48.0,0.16032751666375367,12,48.0
25.0,15,118.0,4.72,3.1038642192578463,15,118.0,0.08776849330033974,15,118.0
30.0,19,203.0,7.0,2.5207489837904395,19,203.0,0.08097830806591134,19,203.0
35.0,11,147.0,4.59375,4.5394484391683685,9,198.0,0.1586691409072765,9,198.0
40.0,15,210.0,6.363636363636363,3.199326597735337,12,240.0,0.07786881584576841,12,240.0
45.0,20,293.0,8.13888888888889,3.87977885643367,19,326.0,0.04010631867100368,19,326.0
50.0,24,408.0,11.657142857142857,3.089632703884871,22,432.0,0.07575778410814787,22,432.0
55.0,21,347.0,9.63888888888889,2.249048078200333,17,379.0,0.07967458223260473,17,379.0
60.0,25,459.0,11.76923076923077,3.523758824356762,19,448.0,0.04931060333401448,19,448.0
65.0,24,579.0,13.159090909090908,3.545837739719241,19,543.0,0.06000975754040295,19,543.0
70.0,31,720.0,16.74418604651163,2.3632505821457546,23,654.0,0.11854667999559192,23,654.0
75.0,28,644.0,15.707317073170731,1.8774542726735153,18,599.0,0.05300122417808065,18,599.0
80.0,29,678.0,14.425531914893616,2.9064899348889197,17,613.0,0.09032769907541383,17,613.0
85.0,26,769.0,14.788461538461538,3.859439488512306,15,685.0,0.1415274132248622,15,685.0
90.0,31,907.0,18.895833333333332,2.215642304417854,19,768.0,0.1576679474585249,19,768.0
95.0,36,995.0,19.50980392156863,1.7554214952198954,20,789.0,0.06604565598772363,20,789.0
100.0,41,1183.0,21.90740740740741,1.7738361780486245,24,902.0,0.04569711456888014,24,902.0
105.0,46,1403.0,25.053571428571427,1.1797158298988288,29,1038.0,0.009812907290607032,29,1038.0
110.0,48,1638.0,28.736842105263158,1.177905563563846,29,1183.0,0.059916458843989,29,1183.0
115.0,43,1699.0,29.80701754385965,1.3244519133649288,22,1153.0,0.07315481690176015,22,1153.0
120.0,44,1801.0,31.051724137931036,2.293197579788117,19,1108.0,0.05069259574946469,19,1108.0
125.0,40,1932.0,31.672131147540984,2.73020787325764,17,1194.0,0.087007869807351,17,1194.0
130.0,44,2122.0,36.58620689655172,1.7930171897262517,19,1313.0,0.16814995177728648,19,1313.0
135.0,37,1258.0,21.689655172413794,1.6000874657973119,18,1041.0,0.056296934978989854,18,1041.0
140.0,37,1043.0,17.098360655737704,2.817458416687554,24,1001.0,0.12701985859745218,24,1001.0
145.0,33,785.0,12.661290322580646,3.3917316675939513,27,1036.0,0.06395066733529865,27,1036.0
150.0,29,815.0,14.051724137931034,4.1648185433497105,29,1140.0,0.07483699650719894,29,1140.0
155.0,31,964.0,16.620689655172413,4.845741411645198,29,1256.0,0.07767076370640931,29,1256.0
