step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.448192692798039,31.630139454172504,2.1086759636115002,18.0,1.2,0,0.0,0.2967297206356115,0,0.0
10.0,2,0.0,0.0,10.376378296848088,63.4635629348664,3.17317814674332,54.0,2.7,1,0.0,0.7073674991583193,1,0.0
15.0,3,3.0,0.13043478260869565,5.927310082291336,102.52907198432706,4.457785738449002,58.333000000000006,2.536217391304348,2,3.0,0.3692329082511511,2,3.0
20.0,13,43.0,1.72,4.424595831294545,178.75806052685445,7.1503224210741765,58.96200000000001,2.35848,12,43.0,0.1655552173507409,12,43.0
25.0,16,116.0,4.461538461538462,3.438998392970706,259.5248468739683,9.981724879768011,60.233000000000004,2.316653846153846,16,116.0,0.13254900707700937,16,116.0
30.0,19,203.0,6.548387096774194,3.2901497168199074,365.39324926030054,11.786879008396792,62.758,2.024451612903226,19,203.0,0.07843333045120454,19,203.0
35.0,17,227.0,7.09375,3.974836706624137,457.86214276977574,14.30819196155549,58.378,1.8243125,16,227.0,0.08229845278279063,16,227.0
40.0,18,314.0,9.515151515151516,2.9763878354860984,576.2275584218931,17.461441164299792,59.266,1.795939393939394,17,311.0,0.07844289822494688,17,311.0
45.0,24,426.0,11.833333333333334,2.9497369013426535,711.4323639997572,19.76201011110436,64.063,1.7795277777777778,23,419.0,0.04232961846066765,23,419.0
50.0,27,554.0,15.38888888888889,2.2837345828983726,781.1618248941272,21.698939580392423,63.228,1.756333333333333,25,538.0,0.07418190740788846,25,538.0
55.0,21,475.0,12.179487179487179,2.2181374373533598,897.6678571370987,23.017124541976894,63.65999999999999,1.632307692307692,20,528.0,0.052878181175020605,20,528.0
60.0,23,581.0,13.833333333333334,4.776846845653919,1042.2196830914163,24.81475435931944,68.071,1.6207380952380954,22,589.0,0.04762737480810068,22,589.0
65.0,25,697.0,15.152173913043478,4.306504650664031,1148.8318937211488,24.974606385242367,71.795,1.5607608695652175,25,705.0,0.08283068836640356,25,705.0
70.0,30,837.0,19.46511627906977,2.260601482140906,1118.5111187206319,26.011886481875166,66.598,1.5487906976744186,30,845.0,0.08172530150268562,30,845.0
75.0,26,545.0,13.292682926829269,1.8078600452509908,1244.7015181786069,30.358573614112363,64.885,1.5825609756097558,25,777.0,0.03151904995285032,25,777.0
80.0,24,518.0,11.02127659574468,3.67324681156561,1405.1951112301813,29.89776832404641,70.60000000000001,1.5021276595744684,22,728.0,0.11993126275294892,22,728.0
85.0,25,568.0,11.137254901960784,3.9194466174890987,1514.5761454844637,29.69757148008753,82.626,1.6201176470588237,23,835.0,0.08354030933979893,23,835.0
90.0,29,700.0,14.285714285714286,3.1192285394704427,1522.7456514138669,31.07644186558912,84.283,1.720061224489796,27,965.0,0.0927139692505921,27,965.0
95.0,24,455.0,9.285714285714286,1.9115009643999867,1505.4469820730951,30.7234077974101,86.55900000000001,1.766510204081633,23,831.0,0.07246444785566834,23,831.0
100.0,34,579.0,11.134615384615385,1.9741714924359737,1716.6722490822915,33.012927866967146,99.52900000000001,1.9140192307692308,26,855.0,0.05239004662240536,26,855.0
105.0,34,726.0,13.2,1.66955674918633,1905.2299987917313,34.640545432576936,105.896,1.9253818181818183,29,990.0,0.01173089005391118,29,990.0
