step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.710845355515681,26.7139841914887,1.78093227943258,18.0,1.2,0,0.0,0.528012560827414,0,0.0
10.0,2,0.0,0.0,10.118684553943742,52.30449975295756,2.615224987647878,54.0,2.7,1,0.0,0.7843612400600107,1,0.0
15.0,2,1.0,0.043478260869565216,5.946581507746148,95.11836952738196,4.135581283799215,58.333000000000006,2.536217391304348,1,1.0,0.3600486870805251,1,1.0
20.0,12,40.0,1.6,4.6189385122842035,170.2687174337921,6.810748697351685,58.96200000000001,2.35848,11,40.0,0.14926835613355632,11,40.0
25.0,15,111.0,4.269230769230769,3.2333312835338286,252.07872160675697,9.695335446413733,60.233000000000004,2.316653846153846,15,111.0,0.11008965113265419,15,111.0
30.0,18,196.0,6.758620689655173,2.564914173122803,344.51683521422177,11.879890869455927,56.758,1.9571724137931035,18,196.0,0.08189978416881134,18,196.0
35.0,14,211.0,6.59375,4.698217753183426,453.65164995178327,14.176614060993225,58.378,1.8243125,13,224.0,0.14383611282460865,13,224.0
40.0,15,283.0,8.575757575757576,5.440302827388387,553.2298243697198,16.76454013241575,59.266,1.795939393939394,14,280.0,0.15045627891600696,14,280.0
45.0,18,368.0,10.823529411764707,5.060515179870752,614.632042685514,18.077413020162176,58.063,1.707735294117647,17,358.0,0.07830605039033889,17,358.0
50.0,20,465.0,14.090909090909092,3.986486545886118,662.3609801587719,20.071544853296114,44.6,1.3515151515151516,18,448.0,0.12690633301023727,18,448.0
55.0,23,572.0,16.823529411764707,2.549642987210406,749.8502116410406,22.05441798944237,43.43999999999999,1.2776470588235294,19,541.0,0.08317898687639773,19,541.0
60.0,25,689.0,19.13888888888889,3.387264121778605,874.1443640416912,24.28178789004697,47.684999999999995,1.3245833333333332,19,636.0,0.04698817395463818,19,636.0
65.0,24,809.0,20.743589743589745,3.184979936081463,1013.1849827163858,25.979102120932975,46.635,1.195769230769231,19,731.0,0.09772368580708025,19,731.0
70.0,29,947.0,23.097560975609756,2.5871036811110986,1166.4783836964457,28.450692285279164,46.939,1.1448536585365854,21,834.0,0.14753216963068477,21,834.0
75.0,33,1102.0,26.878048780487806,2.1574761338909454,1328.385829266671,32.39965437235784,45.355000000000004,1.106219512195122,23,944.0,0.055193366234088305,23,944.0
80.0,38,1266.0,27.52173913043478,1.4735849941004275,1505.6646714826231,32.731840684404865,49.38600000000001,1.073608695652174,25,1061.0,0.02317255488214725,25,1061.0
85.0,35,1441.0,28.82,2.643120044906533,1700.3147973061452,34.00629594612291,64.11500000000001,1.2823,24,1181.0,0.11398747433521529,24,1181.0
90.0,37,1617.0,31.096153846153847,2.340672760052391,1897.4807602719823,36.49001462061505,72.703,1.3981346153846155,25,1302.0,0.11747429755811568,25,1302.0
95.0,44,1818.0,33.054545454545455,1.8828774092035874,2124.104204844231,38.62007645171328,72.896,1.3253818181818182,29,1440.0,0.09185809488583363,29,1440.0
100.0,48,2044.0,37.163636363636364,0.870433850360131,2362.275300539801,42.95046000981455,73.8,1.3418181818181818,31,1590.0,0.04774913450752977,31,1590.0
105.0,51,2293.0,38.86440677966102,0.6607880397288826,2625.8595979924394,44.50609488122778,71.37199999999999,1.2096949152542373,34,1755.0,0.05107265414098714,34,1755.0
110.0,45,2137.0,34.46774193548387,1.5967578319188362,2902.9902981848045,46.822424164271034,75.447,1.2168870967741936,26,1706.0,0.07312611874587091,26,1706.0
115.0,49,2375.0,37.109375,1.2593811897910077,3181.0155929824214,49.70336864035035,76.611,1.1970468749999998,28,1756.0,0.05560522516309261,28,1756.0
