step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.974589854711667,0,0.0,0.4569325125360346,0,0.0
10.0,2,0.0,0.0,10.1113665381625,1,0.0,0.7591528387844789,1,0.0
15.0,5,10.0,0.45454545454545453,6.34070484639573,4,8.0,0.31517345372948774,4,8.0
20.0,12,57.0,2.1923076923076925,4.8370045651657145,12,57.0,0.1006099966579244,12,57.0
25.0,16,129.0,4.961538461538462,4.211535704232815,16,129.0,0.1745961356151474,16,129.0
30.0,19,212.0,8.833333333333334,1.7405446673133695,19,212.0,0.024991977594866627,19,212.0
35.0,21,315.0,11.25,1.7572636067839473,21,315.0,0.06805259113854058,21,315.0
40.0,22,421.0,14.033333333333333,2.1822394038121398,22,421.0,0.11103848728164324,22,421.0
45.0,25,536.0,16.75,1.5849192441253719,25,536.0,0.008331793226517628,25,536.0
50.0,27,670.0,18.61111111111111,1.4800949808180415,27,670.0,0.049193257063232444,27,670.0
55.0,27,669.0,17.153846153846153,2.1803107758843896,26,731.0,0.04588485969391359,26,731.0
60.0,29,808.0,20.2,2.540305266317562,27,795.0,0.04841895781916888,27,795.0
65.0,34,966.0,21.954545454545453,1.7428037780193755,30,938.0,0.033848952720864994,30,938.0
70.0,38,1143.0,25.977272727272727,1.2486152629016343,33,1096.0,0.0,33,1096.0
75.0,36,1151.0,25.57777777777778,0.9334128419077783,30,1190.0,0.04397284864227276,30,1190.0
80.0,41,1284.0,25.68,1.3590289128883704,33,1231.0,0.012694187811329726,33,1231.0
85.0,39,1468.0,27.69811320754717,2.353464616935642,32,1337.0,0.05439715196131093,32,1337.0
90.0,40,1663.0,31.98076923076923,2.3154781593892775,34,1502.0,0.03664242221156766,34,1502.0
95.0,31,1350.0,26.470588235294116,1.8326627246383353,25,1370.0,0.03927659384434899,25,1370.0
100.0,29,1448.0,27.846153846153847,4.437439310350783,22,1274.0,0.1350794956622873,22,1274.0
105.0,32,1599.0,29.072727272727274,5.144679424905619,23,1342.0,0.06126102808778028,23,1342.0
110.0,30,1731.0,37.630434782608695,3.8091971163344236,23,1442.0,0.039430082047149234,23,1442.0
115.0,31,1883.0,41.84444444444444,2.8973154550583855,24,1559.0,0.04665666422849046,24,1559.0
120.0,34,2008.0,46.69767441860465,2.2743759853021657,24,1644.0,0.06835452099321015,24,1644.0
125.0,35,2172.0,51.714285714285715,1.250855434078445,25,1765.0,0.01157164665682308,25,1765.0
130.0,36,2343.0,52.06666666666667,1.7316860111633345,26,1891.0,0.06099979014162493,26,1891.0
135.0,40,2526.0,53.744680851063826,1.6983141587746169,28,2025.0,0.08424423415001855,28,2025.0
140.0,32,2627.0,58.37777777777778,1.9202790968284777,22,2086.0,0.12820991484268932,22,2086.0
145.0,34,2794.0,59.4468085106383,2.5204046810771126,23,2189.0,0.057717211328063116,23,2189.0
150.0,37,2959.0,59.18,2.831431448820344,24,2303.0,5.119263269303093e-06,24,2303.0
155.0,36,3138.0,68.21739130434783,2.0929295541445687,24,2423.0,0.037975504050130476,24,2423.0
160.0,36,3312.0,72.0,1.5685758175064075,24,2543.0,0.06055594730744149,24,2543.0
165.0,39,3496.0,71.34693877551021,2.249321388390198,24,2663.0,0.03344040209786112,24,2663.0
170.0,39,3685.0,75.20408163265306,1.5037304146766086,24,2783.0,0.0621650896769097,24,2783.0
175.0,32,2342.0,47.795918367346935,1.7143755384107833,15,2205.0,0.11274728705115988,15,2205.0
180.0,29,2004.0,39.294117647058826,3.5778970183334904,14,1490.0,0.13389687482733004,14,1490.0
185.0,28,2004.0,39.294117647058826,4.247621616445572,18,1429.0,0.11353695411639314,18,1429.0
190.0,25,2095.0,43.645833333333336,3.5258062339379777,19,1605.0,0.10308959992387881,19,1605.0
195.0,26,2078.0,45.17391304347826,2.9421561389691804,19,1599.0,0.055729342028446455,19,1599.0
200.0,30,2222.0,48.30434782608695,2.576050156735082,23,1719.0,0.022442070270273437,23,1719.0
205.0,33,2378.0,49.541666666666664,2.385180731459577,27,1846.0,0.061494209616999126,27,1846.0
210.0,37,2555.0,52.142857142857146,2.109669916665876,29,1988.0,0.07918082119178071,29,1988.0
215.0,28,2443.0,51.97872340425532,2.2736994284052163,21,1950.0,0.08851541003731973,21,1950.0
220.0,32,2592.0,55.148936170212764,3.637182535734778,23,1950.0,0.05364495690432439,23,1950.0
225.0,30,2734.0,53.6078431372549,4.15676866502153,22,2056.0,0.0,22,2056.0
230.0,31,2885.0,65.56818181818181,3.3968607734920457,22,2166.0,0.02794786271283764,22,2166.0
235.0,32,3041.0,76.025,1.9593055313492478,22,2276.0,0.10166458030604747,22,2276.0
240.0,33,3195.0,76.07142857142857,1.4544972884023737,22,2386.0,0.019641592056887678,22,2386.0
245.0,33,3360.0,78.13953488372093,2.3164915474501617,23,2501.0,0.05598228323965794,23,2501.0
250.0,31,3412.0,79.34883720930233,1.7322792103213673,20,2543.0,0.08080060743006905,20,2543.0
255.0,35,3575.0,76.06382978723404,1.679222798542688,23,2618.0,0.0391729827067188,23,2618.0
260.0,35,3744.0,78.0,2.4669541425092,24,2724.0,0.011833039569688272,24,2724.0
265.0,37,3925.0,78.5,2.312927564563971,25,2847.0,0.07557077526621062,25,2847.0
270.0,35,4025.0,77.40384615384616,2.244848752015531,20,2904.0,0.14197985828918383,20,2904.0
275.0,38,4203.0,82.41176470588235,2.6787235875494106,22,2986.0,0.0128267794157224,22,2986.0
280.0,39,4397.0,81.42592592592592,3.2032422851396825,23,3100.0,0.040761339988859106,23,3100.0
285.0,38,4579.0,93.44897959183673,2.056774816065936,23,3215.0,0.13982403328155335,23,3215.0
290.0,39,4744.0,96.81632653061224,1.7507502480920019,23,3303.0,0.0488852765387224,23,3303.0
