step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.727336167654333,0,0.0,0.47587969317802165,0,0.0
10.0,3,0.0,0.0,9.300553933570907,1,0.0,0.7549011656200809,1,0.0
15.0,6,6.0,0.25,6.300919666175198,5,6.0,0.3447275540894517,5,6.0
20.0,12,47.0,1.8076923076923077,4.8293274914648405,11,47.0,0.12514245311754915,11,47.0
25.0,15,115.0,4.423076923076923,4.046368987499694,15,115.0,0.07017637364361062,15,115.0
30.0,17,195.0,6.964285714285714,3.379866190837524,17,195.0,0.08550357032740359,17,195.0
35.0,18,229.0,7.896551724137931,2.972515061259321,16,242.0,0.09825682492852875,16,242.0
40.0,18,318.0,10.6,2.7364446534677302,18,318.0,0.0644344388570527,18,318.0
45.0,23,423.0,12.818181818181818,2.7532694860717433,23,423.0,0.03783562901517666,23,423.0
50.0,26,543.0,16.454545454545453,1.4336936835668623,25,543.0,0.04712889417386389,25,543.0
55.0,21,589.0,16.36111111111111,2.1645916656315354,21,603.0,0.07432848074548383,21,603.0
60.0,24,703.0,17.575,3.9004557410986846,22,697.0,0.09389727722520888,22,697.0
65.0,26,828.0,18.818181818181817,3.9694505984267066,24,812.0,0.05319867243717398,24,812.0
70.0,28,953.0,23.825,2.3153503779498044,25,937.0,0.08517739961648964,25,937.0
75.0,33,1107.0,27.0,1.5673372212121623,28,1075.0,0.040881511341594165,28,1075.0
80.0,37,1282.0,27.869565217391305,1.471385189387581,30,1225.0,0.0332753753711941,30,1225.0
85.0,37,1462.0,30.458333333333332,1.5582862219946563,32,1380.0,0.02075531650043778,32,1380.0
90.0,42,1663.0,33.93877551020408,1.0791697077874327,33,1541.0,0.03768283527454385,33,1541.0
95.0,31,1189.0,23.313725490196077,1.239913820098872,22,1413.0,0.05613853648407103,22,1413.0
100.0,26,951.0,17.61111111111111,3.514104102104153,19,1120.0,0.09828296862261407,19,1120.0
105.0,24,952.0,17.0,5.038510324536808,20,1061.0,0.1520795945637676,20,1061.0
110.0,23,1027.0,18.672727272727272,4.120098744575967,22,1240.0,0.10196564393529975,22,1240.0
115.0,21,966.0,17.88888888888889,3.85567809269513,21,1259.0,0.041986111295487585,21,1259.0
120.0,30,1092.0,21.0,4.048032171461391,26,1351.0,0.07721609124565892,26,1351.0
125.0,31,1236.0,23.32075471698113,4.179317274051445,26,1471.0,0.02570550051043784,26,1471.0
130.0,35,1399.0,28.551020408163264,2.8559606883473325,29,1607.0,0.04346625467205299,29,1607.0
135.0,29,627.0,13.630434782608695,2.09715090584091,22,1390.0,0.09200972587208475,22,1390.0
140.0,28,502.0,10.91304347826087,2.626245003580261,20,1038.0,0.0887204976299971,20,1038.0
145.0,33,636.0,12.979591836734693,2.4715107799420446,24,1027.0,0.05825212932418531,24,1027.0
150.0,33,757.0,14.843137254901961,2.6277278802325155,24,1143.0,0.02178150051015263,24,1143.0
155.0,26,546.0,10.92,3.60284007811703,19,1065.0,0.13829529444573171,19,1065.0
160.0,23,410.0,8.03921568627451,4.26672788827423,17,829.0,0.17840939742517706,17,829.0
165.0,22,365.0,7.3,4.62455838183576,19,721.0,0.07649304427162122,19,721.0
170.0,24,431.0,9.369565217391305,2.8742045946904717,22,942.0,0.09362119205592946,22,942.0
175.0,25,422.0,8.612244897959183,3.0243783834938647,23,852.0,0.03275762018996355,23,852.0
180.0,27,502.0,10.04,3.565449111675865,26,894.0,0.0728043690752896,26,894.0
185.0,32,643.0,12.365384615384615,3.169842929549089,27,943.0,0.08824475385412636,27,943.0
190.0,38,810.0,16.53061224489796,2.2796373006749193,32,1086.0,0.047447519093166586,32,1086.0
195.0,30,837.0,17.4375,2.147150478901036,24,1098.0,0.08141897229887883,24,1098.0
200.0,30,883.0,16.98076923076923,2.7205337310524977,23,1061.0,0.043350729028002924,23,1061.0
205.0,28,952.0,18.307692307692307,4.0150865905333255,25,1022.0,0.08625798596759934,25,1022.0
210.0,29,1074.0,20.653846153846153,3.1617401591593866,26,1129.0,0.097212800584031,26,1129.0
215.0,35,1221.0,23.48076923076923,2.285618488512036,28,1300.0,0.052067118524283605,28,1300.0
220.0,22,493.0,9.30188679245283,3.2870351895061205,20,1215.0,0.09139199257350161,20,1215.0
225.0,22,428.0,7.508771929824562,3.7810506784463023,19,1079.0,0.07788671490157659,19,1079.0
230.0,20,479.0,8.258620689655173,5.120117474325134,16,825.0,0.07147861124311941,16,825.0
235.0,20,531.0,10.018867924528301,4.265906032647011,19,934.0,0.173621298242629,19,934.0
240.0,29,493.0,10.270833333333334,2.4452289597728547,25,945.0,0.03399255791282051,25,945.0
245.0,34,656.0,13.957446808510639,2.5802472961438694,28,1008.0,0.09591279934048033,28,1008.0
250.0,37,833.0,16.333333333333332,2.6831034963129725,29,1150.0,0.09537868994907472,29,1150.0
255.0,40,1020.0,20.816326530612244,2.0856002932963293,31,1298.0,0.05326406378389912,31,1298.0
260.0,42,1224.0,24.48,1.2981959085714456,32,1455.0,0.0652108525288857,32,1455.0
265.0,43,1437.0,28.176470588235293,1.2277748899054544,33,1618.0,0.027867818900764264,33,1618.0
