step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.062827712595464,0,0.0,0.5137256926379558,0,0.0
10.0,2,0.0,0.0,10.327022932441375,1,0.0,0.7895959920357349,1,0.0
15.0,5,5.0,0.21739130434782608,5.368485562737908,4,5.0,0.3219990232524585,4,5.0
20.0,13,52.0,2.08,4.492576154593501,12,52.0,0.1421778022203808,12,52.0
25.0,15,123.0,4.555555555555555,3.637023472279799,15,123.0,0.11844969453423541,15,123.0
30.0,14,159.0,5.3,3.2875343872534217,14,179.0,0.10588883397608247,14,179.0
35.0,14,222.0,6.9375,5.996249208188857,13,224.0,0.16152178930878797,13,224.0
40.0,15,292.0,9.125,5.524708090709979,14,288.0,0.1173239726379684,14,288.0
45.0,19,379.0,11.484848484848484,4.7592455561504226,18,370.0,0.06795692348670594,18,370.0
50.0,20,478.0,15.933333333333334,3.2095453853903257,18,460.0,0.08421281631311335,18,460.0
55.0,22,584.0,17.696969696969695,2.457775256306479,19,553.0,0.11516339193585644,19,553.0
60.0,25,702.0,19.5,3.4393170724604394,19,648.0,0.11133469853911736,19,648.0
65.0,24,822.0,21.076923076923077,2.762557485713511,19,743.0,0.07817299790461964,19,743.0
70.0,29,959.0,23.390243902439025,2.520305773162446,21,845.0,0.15100167487078023,21,845.0
75.0,33,1113.0,26.5,2.090158926314078,23,955.0,0.044282059106609574,23,955.0
80.0,33,911.0,19.804347826086957,1.5870760763643716,20,907.0,0.05579764553978106,20,907.0
85.0,23,844.0,16.88,4.6038955210394485,19,875.0,0.17203473395485774,19,875.0
90.0,21,896.0,17.23076923076923,5.095408306618631,20,930.0,0.1595180401471263,20,930.0
95.0,29,1025.0,20.098039215686274,3.4324076852695087,29,1076.0,0.08062070550521923,29,1076.0
100.0,31,687.0,13.470588235294118,2.6530318392136585,28,1024.0,0.04963657330761866,28,1024.0
