step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.801923944059138,0,0.0,0.41637061023810445,0,0.0
10.0,2,0.0,0.0,9.726419740839512,1,0.0,0.8080686703443397,1,0.0
15.0,3,3.0,0.13636363636363635,6.715476533397319,3,3.0,0.45202445465006935,3,3.0
20.0,12,48.0,1.8461538461538463,4.6176427118210475,12,48.0,0.12895866685988858,12,48.0
25.0,15,119.0,4.25,4.754456181640836,15,119.0,0.18466960071614086,15,119.0
30.0,17,202.0,8.08,3.1864434780165136,17,202.0,0.029108895326943027,17,202.0
35.0,19,295.0,10.535714285714286,2.8552921966775022,19,295.0,0.06637820925860198,19,295.0
40.0,20,392.0,14.0,1.9164417161003033,20,392.0,0.10053848438595037,20,392.0
45.0,14,313.0,10.433333333333334,3.6410248250555624,14,362.0,0.03886839854950979,14,362.0
50.0,15,378.0,11.117647058823529,4.497615153953157,14,397.0,0.17203889633410457,14,397.0
55.0,16,453.0,12.243243243243244,4.644630566953329,16,460.0,0.09682718549711937,16,460.0
60.0,17,413.0,12.147058823529411,4.387025342487733,17,461.0,0.10350805294608686,17,461.0
65.0,22,507.0,14.083333333333334,3.507769977844361,21,514.0,0.045079084975783806,21,514.0
70.0,21,612.0,17.485714285714284,3.7876774784446257,21,619.0,0.014491070842020134,21,619.0
75.0,26,730.0,21.470588235294116,2.5365381435830017,25,737.0,0.04595169575583785,25,737.0
80.0,30,858.0,23.18918918918919,1.1082607376505795,28,865.0,0.002180314091897903,28,865.0
85.0,30,1002.0,24.4390243902439,2.37354269258646,28,1004.0,0.10008490523113082,28,1004.0
90.0,33,1153.0,28.121951219512194,1.243617543083703,30,1147.0,0.04966172610633623,30,1147.0
95.0,38,1329.0,30.204545454545453,0.7439277797513171,35,1309.0,0.027084048354691814,35,1309.0
100.0,41,1527.0,31.8125,1.278340576478796,36,1489.0,0.04708835506471615,36,1489.0
