step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.363350444945196,0,0.0,0.41229521897208743,0,0.0
10.0,3,0.0,0.0,10.229210115911517,1,0.0,0.8032717978562889,1,0.0
15.0,5,7.0,0.2916666666666667,5.898734418450836,4,7.0,0.3407204019406043,4,7.0
20.0,13,57.0,2.1923076923076925,5.047898209033061,12,57.0,0.18023223990210777,12,57.0
25.0,16,129.0,5.16,3.7636091528483835,16,129.0,0.028518670337693664,16,129.0
30.0,17,212.0,7.571428571428571,3.780163077495119,17,212.0,0.07176293887345782,17,212.0
35.0,21,301.0,10.379310344827585,3.2999042956974707,19,301.0,0.1201105957781562,19,301.0
40.0,21,399.0,13.758620689655173,1.8418890628313713,21,399.0,0.054452067789706404,21,399.0
45.0,14,320.0,10.0,3.9510911849951285,14,359.0,0.0808822382615031,14,359.0
50.0,17,395.0,11.969696969696969,4.574913253727626,15,402.0,0.18596605120925258,15,402.0
55.0,17,471.0,13.457142857142857,3.6050356122277325,16,468.0,0.08478634659309267,16,468.0
60.0,17,427.0,11.86111111111111,4.7001492665055595,17,469.0,0.11900168229890655,17,469.0
65.0,19,516.0,13.578947368421053,5.042620409659193,18,514.0,0.1255935292745153,18,514.0
70.0,21,611.0,16.97222222222222,3.467506970680016,21,611.0,0.09205703357111619,21,611.0
75.0,26,730.0,20.857142857142858,2.657408581901623,25,730.0,0.031124492663429766,25,730.0
80.0,28,860.0,22.05128205128205,2.0136368409585144,26,860.0,0.026799111340532804,26,860.0
85.0,29,1003.0,24.463414634146343,2.5082894021278372,29,1003.0,0.0812041569486932,29,1003.0
90.0,34,1155.0,28.170731707317074,1.3751324304885464,34,1155.0,0.056697038981903904,34,1155.0
95.0,38,1336.0,29.68888888888889,1.0360316576394193,37,1332.0,0.002764292303567444,37,1332.0
100.0,41,1531.0,31.895833333333332,1.0891863549504832,38,1522.0,0.03538370385531218,38,1522.0
105.0,36,1211.0,23.745098039215687,1.7367017077119036,34,1447.0,0.047871783356269126,34,1447.0
110.0,40,1090.0,20.185185185185187,1.5991835917465775,32,1402.0,0.050120965293073444,32,1402.0
115.0,44,1284.0,22.526315789473685,1.802327519468932,38,1469.0,0.014880631763335725,38,1469.0
120.0,44,1455.0,24.661016949152543,1.8686297614657257,36,1509.0,0.018288953367436595,36,1509.0
125.0,47,1670.0,27.833333333333332,1.8319442722848258,39,1603.0,0.0173119171252445,39,1603.0
130.0,47,1894.0,31.566666666666666,2.257892350474938,39,1751.0,0.051876318122152106,39,1751.0
135.0,47,2126.0,35.43333333333333,1.9618357005053746,39,1943.0,0.01754433115120995,39,1943.0
140.0,50,2372.0,39.53333333333333,1.623480320823713,41,2145.0,0.028119096203147526,41,2145.0
145.0,54,2630.0,43.833333333333336,0.4974193585204618,43,2354.0,0.002835929307571189,43,2354.0
150.0,58,2907.0,45.421875,0.6361969932819762,44,2573.0,0.0,44,2573.0
155.0,57,3190.0,48.333333333333336,1.2287655072800177,44,2793.0,0.03770190137452065,44,2793.0
160.0,62,3487.0,51.279411764705884,0.48481040119003393,47,3020.0,0.03384944255788278,47,3020.0
165.0,48,2191.0,31.3,1.2008088754708117,31,2586.0,0.04192392025761233,31,2586.0
170.0,36,1738.0,24.13888888888889,3.8159694068798777,23,1900.0,0.1483239389240942,23,1900.0
175.0,35,1881.0,25.41891891891892,5.53551448496134,23,1587.0,0.07843624228941025,23,1587.0
180.0,35,2053.0,30.64179104477612,5.005234781021656,24,1665.0,0.09110423774159061,24,1665.0
185.0,40,2236.0,36.65573770491803,3.6216252919005605,25,1784.0,0.06291181685665485,25,1784.0
190.0,34,2340.0,43.333333333333336,3.0294554927309827,22,1829.0,0.05567240045486521,22,1829.0
195.0,38,2515.0,50.3,2.048221697186975,24,1942.0,0.10109516537944582,24,1942.0
200.0,43,2710.0,52.11538461538461,1.0725397936433287,28,2076.0,0.032176786549495455,28,2076.0
205.0,33,1852.0,35.61538461538461,2.021608102451599,19,1772.0,0.0951411991381482,19,1772.0
210.0,24,1044.0,19.333333333333332,3.769652921131568,12,1161.0,0.20353651450299604,12,1161.0
215.0,20,615.0,10.982142857142858,4.586682754166188,14,962.0,0.15500551954720984,14,962.0
220.0,21,586.0,11.056603773584905,4.821349445017403,21,1440.0,0.09670859934602326,21,1440.0
225.0,20,404.0,7.481481481481482,4.432119271450064,17,1258.0,0.11461097088411548,17,1258.0
230.0,26,514.0,9.69811320754717,4.72550941999021,22,1292.0,0.08029629201645613,22,1292.0
235.0,29,650.0,12.5,4.442566549929095,22,1391.0,0.15299106420252043,22,1391.0
240.0,34,807.0,17.170212765957448,3.111842181521227,26,1509.0,0.0003040788993927583,26,1509.0
245.0,32,940.0,20.434782608695652,3.1923645101150306,26,1639.0,0.12627627077737094,26,1639.0
250.0,35,1104.0,24.0,1.7622498658955994,28,1773.0,0.0630163561992564,28,1773.0
255.0,39,1288.0,28.622222222222224,1.2620353182561401,33,1927.0,0.05206262963249724,33,1927.0
260.0,40,1486.0,30.958333333333332,0.7324256822712959,34,2095.0,0.05333809837359482,34,2095.0
265.0,45,1701.0,34.02,0.8442569594296441,39,2280.0,0.018872737722168076,39,2280.0
270.0,35,1265.0,24.326923076923077,2.0582352511235986,29,1940.0,0.0886198635618793,29,1940.0
275.0,40,1453.0,26.418181818181818,1.7973947155973589,31,1990.0,0.03356447194376944,31,1990.0
280.0,41,1634.0,29.178571428571427,2.4618196726203854,34,2132.0,0.03259626773316171,34,2132.0
285.0,41,1837.0,32.228070175438596,2.617318671157282,35,2296.0,0.022379264610343043,35,2296.0
290.0,45,2051.0,36.625,1.9723935694347894,37,2476.0,0.017971437346004784,37,2476.0
295.0,47,2273.0,41.32727272727273,1.312690554249005,38,2662.0,0.03669129200303492,38,2662.0
300.0,49,2507.0,41.78333333333333,1.0221103054907623,40,2856.0,0.02126897820586279,40,2856.0
305.0,52,2761.0,44.53225806451613,1.2590346835201405,43,3065.0,0.05766947706837166,43,3065.0
310.0,56,3031.0,46.63076923076923,1.212203245731304,45,3288.0,0.06908377393251129,45,3288.0
315.0,59,3316.0,50.24242424242424,1.0924104224986269,47,3518.0,0.02392150064660911,47,3518.0
320.0,63,3617.0,51.67142857142857,1.0401756942104337,48,3758.0,1.1753287134030815e-06,48,3758.0
325.0,56,3287.0,46.957142857142856,0.9696835331099127,42,3362.0,0.010884095838100523,42,3362.0
330.0,36,2002.0,29.014492753623188,2.540932932753204,21,2948.0,0.09549863990879567,21,2948.0
335.0,32,2062.0,29.04225352112676,5.135763780303896,22,2404.0,0.08870801794253226,22,2404.0
340.0,34,2223.0,31.309859154929576,5.878821136730319,23,2456.0,0.13614848174307445,23,2456.0
345.0,34,2375.0,40.94827586206897,4.651010741029497,24,2527.0,9.235166091653875e-05,24,2527.0
350.0,31,2490.0,48.8235294117647,3.396394342452482,20,2568.0,0.1117280764618732,20,2568.0
355.0,34,2654.0,57.69565217391305,2.2288848126463114,22,2674.0,0.07343811324214955,22,2674.0
360.0,36,2823.0,57.61224489795919,2.0904796492190356,24,2792.0,0.03648026146131241,24,2792.0
365.0,37,2629.0,53.6530612244898,2.151553785282587,23,2363.0,0.12121085843523459,23,2363.0
370.0,22,1398.0,28.53061224489796,3.2995829779947443,10,1856.0,0.1570393063954077,10,1856.0
375.0,17,775.0,14.903846153846153,4.751021677663454,11,1164.0,0.20032544254097287,11,1164.0
380.0,16,396.0,7.471698113207547,5.267903364755254,14,1418.0,0.16723712903112062,14,1418.0
385.0,13,198.0,4.040816326530612,4.51770847172714,13,1512.0,0.10496984388898131,13,1512.0
390.0,22,281.0,5.854166666666667,4.674457752905693,18,1582.0,0.16929119190969746,18,1582.0
395.0,27,400.0,8.333333333333334,4.5562627822175035,20,1661.0,0.09454701840366135,20,1661.0
400.0,30,528.0,11.0,3.88203529320703,22,1764.0,0.10110876805959754,22,1764.0
405.0,28,648.0,16.2,2.5703569156211135,22,1874.0,0.05929069453167489,22,1874.0
410.0,33,801.0,19.071428571428573,1.6083951281607258,26,1997.0,0.03264741647180971,26,1997.0
415.0,36,973.0,23.166666666666668,1.3996533029222165,29,2139.0,0.023823076726687382,29,2139.0
420.0,36,1150.0,26.74418604651163,1.1316438266446713,30,2286.0,0.05878471462260892,30,2286.0
425.0,40,1336.0,27.833333333333332,0.9483992567599149,32,2442.0,0.041991126769641625,32,2442.0
430.0,36,1137.0,22.74,1.7445981068058012,28,2361.0,0.05361013117890346,28,2361.0
435.0,36,1304.0,24.60377358490566,2.0104831767337,29,2433.0,0.013208764538259504,29,2433.0
440.0,38,1489.0,27.574074074074073,2.3906239893104497,32,2508.0,0.024894257385009128,32,2508.0
445.0,43,1693.0,31.943396226415093,1.8872915717603087,35,2676.0,0.031226345614910066,35,2676.0
450.0,44,1906.0,35.2962962962963,1.484500622272501,37,2854.0,0.019193558094728103,37,2854.0
455.0,47,2131.0,38.05357142857143,1.5061928676888974,38,3040.0,0.06617770592649552,38,3040.0
460.0,49,2367.0,42.267857142857146,1.0441861944806108,39,3231.0,0.05079178221810358,39,3231.0
465.0,52,2621.0,45.189655172413794,0.7000222735419716,42,3435.0,0.000178474458217856,42,3435.0
470.0,53,2884.0,48.88135593220339,0.7742724511568625,41,3639.0,0.009787779976913782,41,3639.0
475.0,57,3153.0,49.265625,0.6127078340454717,42,3847.0,3.1634879796108347e-07,42,3847.0
480.0,58,3434.0,51.25373134328358,1.1334544316369306,42,4057.0,0.021761875013565597,42,4057.0
485.0,60,3726.0,55.61194029850746,0.8474870037592641,43,4268.0,0.04071857134958985,43,4268.0
490.0,42,2274.0,32.95652173913044,1.422768004552633,23,3480.0,0.054692899242107906,23,3480.0
495.0,35,2068.0,29.12676056338028,4.249810459133218,21,3038.0,0.1238232554800571,21,3038.0
500.0,33,2219.0,30.397260273972602,5.380972119122903,21,2943.0,0.12717719391775437,21,2943.0
505.0,33,2359.0,35.208955223880594,4.936943478054549,21,2935.0,0.1048944304371217,21,2935.0
510.0,34,2520.0,45.0,3.9862570201762098,21,3034.0,0.053198838214668906,21,3034.0
515.0,39,2705.0,53.03921568627451,2.449617701905765,25,3150.0,0.04046344902483256,25,3150.0
520.0,39,2891.0,60.229166666666664,1.8989319734909964,26,3278.0,0.01653283129658668,26,3278.0
525.0,40,3088.0,64.33333333333333,1.428777057989298,26,3408.0,0.05889514426756913,26,3408.0
530.0,30,1935.0,37.21153846153846,2.2328585363356312,13,2324.0,0.10302647749291761,13,2324.0
535.0,22,1104.0,21.23076923076923,4.518706076665672,10,1380.0,0.26379547403398895,10,1380.0
540.0,19,473.0,8.446428571428571,4.605952608032706,13,1541.0,0.2206493475851688,13,1541.0
545.0,17,265.0,5.096153846153846,4.3675592026553085,16,1927.0,0.09082778215813084,16,1927.0
550.0,21,323.0,6.333333333333333,3.989020022327469,20,1979.0,0.11338829364360188,20,1979.0
555.0,30,450.0,8.333333333333334,3.4781944500471695,24,2064.0,0.07319264039795943,24,2064.0
560.0,34,607.0,11.901960784313726,3.4630608232126803,27,2164.0,0.06296580283985787,27,2164.0
565.0,35,765.0,15.612244897959183,2.728982597988211,27,2299.0,0.07008814206379618,27,2299.0
570.0,37,907.0,18.510204081632654,2.1019126754343884,30,2441.0,0.006903736847521996,30,2441.0
575.0,35,1033.0,21.081632653061224,2.3218914126598946,29,2338.0,0.02764901490194857,29,2338.0
580.0,37,1213.0,23.784313725490197,2.0407557056205947,30,2488.0,0.030742464356322895,30,2488.0
585.0,38,1403.0,28.06,2.277941892683588,32,2648.0,0.010433457753011894,32,2648.0
590.0,37,1340.0,26.8,1.2852156261486851,31,2555.0,0.04909134309944088,31,2555.0
595.0,40,1273.0,24.48076923076923,1.8131730782891038,32,2494.0,0.009579230374754978,32,2494.0
600.0,38,1463.0,26.6,2.9377409512009875,32,2618.0,0.05882654045313399,32,2618.0
605.0,40,1661.0,28.637931034482758,2.7750145813490796,34,2786.0,0.09268026454312545,34,2786.0
610.0,43,1871.0,34.018181818181816,2.1473635808055898,36,2962.0,0.0658640405224875,36,2962.0
615.0,45,2093.0,36.719298245614034,1.640327127253703,37,3147.0,0.01778631152430157,37,3147.0
620.0,48,2322.0,41.464285714285715,1.4772385152213672,40,3338.0,0.0001309266755765066,40,3338.0
625.0,49,2563.0,44.96491228070175,1.2467211870756565,40,3538.0,0.003506472420754203,40,3538.0
630.0,52,2815.0,50.267857142857146,0.3530722131593026,41,3739.0,0.0009097267413501611,41,3739.0
635.0,55,3080.0,52.20338983050848,0.5145077151859077,43,3949.0,4.3944955258406935e-06,43,3949.0
640.0,56,3354.0,54.096774193548384,0.5202027175869991,43,4164.0,0.008664828553801747,43,4164.0
645.0,60,3640.0,56.0,0.47427453579056156,45,4381.0,0.003525749016477972,45,4381.0
650.0,50,2774.0,40.794117647058826,1.250341327199459,33,3957.0,0.06775523154707117,33,3957.0
655.0,32,1997.0,27.73611111111111,3.598521584891656,19,3248.0,0.14958375035982097,19,3248.0
660.0,33,2083.0,28.534246575342465,5.698501644349152,22,3087.0,0.17092295440621563,22,3087.0
665.0,35,2250.0,31.690140845070424,5.368824644061873,23,3102.0,0.14145227434601385,23,3102.0
670.0,39,2432.0,39.868852459016395,4.11749659684302,26,3217.0,0.03373506511421545,26,3217.0
675.0,36,2551.0,48.132075471698116,3.0535827285129282,24,3269.0,0.03592816893372906,24,3269.0
680.0,35,2703.0,53.0,2.4819738860957097,23,3321.0,0.12309085656921276,23,3321.0
685.0,40,2890.0,58.97959183673469,1.6486754895126672,26,3446.0,0.061346060410820365,26,3446.0
690.0,35,2347.0,46.01960784313726,1.757912899304769,22,2866.0,0.05203787525070055,22,2866.0
695.0,25,1281.0,24.634615384615383,3.706527309345959,11,1681.0,0.1803588918488166,11,1681.0
700.0,20,555.0,10.277777777777779,4.102006074058461,14,1351.0,0.17779925931150772,14,1351.0
705.0,20,468.0,8.830188679245284,4.1468061727285646,20,1777.0,0.12932794681999804,20,1777.0
710.0,19,332.0,6.509803921568627,4.223234845310915,18,1672.0,0.058135509969219464,18,1672.0
715.0,24,432.0,8.0,4.495213471315628,21,1879.0,0.08408349605341031,21,1879.0
720.0,28,556.0,10.49056603773585,4.802645141823324,22,1952.0,0.12615258481388128,22,1952.0
725.0,34,703.0,13.784313725490197,2.999680823100981,24,2066.0,0.011615303301652473,24,2066.0
730.0,33,854.0,18.170212765957448,2.8315012068594045,27,2199.0,0.017209205096879357,27,2199.0
735.0,34,1022.0,23.767441860465116,1.857924112437224,28,2337.0,0.061494029135488605,28,2337.0
740.0,39,1201.0,25.5531914893617,1.4225645747014615,32,2486.0,0.00031589253881400645,32,2486.0
745.0,40,1396.0,29.083333333333332,1.5083762105824317,33,2651.0,0.07422313032790633,33,2651.0
750.0,43,1595.0,32.55102040816327,0.8236379235820086,36,2820.0,0.017879847880305045,36,2820.0
755.0,35,1196.0,23.45098039215686,1.883537257554338,29,2499.0,0.07506778206281019,29,2499.0
760.0,40,1381.0,26.557692307692307,1.9332692912537117,32,2621.0,0.0612855183185685,32,2621.0
765.0,41,1581.0,28.232142857142858,2.3245535375176876,33,2701.0,0.007375327869280248,33,2701.0
770.0,40,1764.0,31.5,2.6409643048622207,34,2869.0,0.03578442158105437,34,2869.0
775.0,44,1973.0,35.232142857142854,1.7826216985512031,37,3045.0,0.04413458683841297,37,3045.0
780.0,46,2199.0,37.271186440677965,2.049768601880734,39,3236.0,0.07502956581688981,39,3236.0
785.0,49,2435.0,42.719298245614034,1.3042906656195974,40,3432.0,0.018959915390647786,40,3432.0
790.0,52,2678.0,45.389830508474574,1.2111646467588564,42,3634.0,0.010619949055246554,42,3634.0
795.0,53,2938.0,48.96666666666667,0.6454564045949701,43,3846.0,0.012546050254274856,43,3846.0
800.0,55,3210.0,51.774193548387096,0.8367844468825684,44,4064.0,0.038297068941823914,44,4064.0
