step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.723196515529417,0,0.0,0.37811661774287164,0,0.0
10.0,2,0.0,0.0,9.816525497877615,1,0.0,0.7497481691871436,1,0.0
15.0,1,1.0,0.045454545454545456,6.668558772734584,1,1.0,0.36576133905154934,1,1.0
20.0,12,43.0,1.6538461538461537,4.635889928565871,12,43.0,0.18067048882301823,12,43.0
25.0,16,114.0,4.222222222222222,4.664022476177095,16,114.0,0.17496001469399672,16,114.0
30.0,14,157.0,6.541666666666667,2.0026004216374456,14,157.0,0.02954528324021252,14,157.0
35.0,14,167.0,5.964285714285714,2.9348805525210255,13,201.0,0.1106508128869429,13,201.0
40.0,17,244.0,8.133333333333333,3.316193575190225,16,261.0,0.13941936296821866,16,261.0
45.0,21,326.0,10.516129032258064,3.0808830576553823,21,350.0,0.009519761088694071,21,350.0
50.0,18,335.0,9.852941176470589,2.908234133314989,18,394.0,0.07536848469053377,18,394.0
55.0,14,252.0,7.2,4.192845741588594,13,358.0,0.13202592431740803,13,358.0
60.0,13,298.0,8.514285714285714,5.0203167285024,13,369.0,0.13576050536403647,13,369.0
65.0,16,368.0,9.68421052631579,4.224226305560343,15,448.0,0.08967312808025248,15,448.0
70.0,15,319.0,8.86111111111111,4.001262360868784,15,399.0,0.10449838818208985,15,399.0
75.0,15,304.0,8.941176470588236,4.945700386862772,14,402.0,0.14386214453908236,14,402.0
80.0,20,385.0,10.131578947368421,5.234813673554744,16,459.0,0.0010614185384288325,16,459.0
85.0,19,474.0,12.473684210526315,5.413226377245233,16,538.0,0.18386875179842044,16,538.0
90.0,19,465.0,15.0,2.430784798886232,15,494.0,0.14631754473443076,15,494.0
95.0,21,537.0,16.272727272727273,2.2410395351525776,17,556.0,0.050544064907719524,17,556.0
100.0,25,654.0,18.166666666666668,2.911580175280905,19,638.0,0.11839137959648484,19,638.0
105.0,28,784.0,20.102564102564102,2.575256940489236,21,738.0,0.03605398672928399,21,738.0
110.0,25,805.0,22.36111111111111,1.757027321920918,19,707.0,0.046779647318442065,19,707.0
