step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.310102573198466,25.927079383038535,1.8519342416456095,15.0,1.0714285714285714,0,0.0,0.5405699550842027,0,0.0
10.0,4,0.0,0.0,8.55216396223782,49.17001975539703,2.0487508231415426,26.29,1.0954166666666667,2,0.0,0.6654201112909653,2,0.0
15.0,4,4.0,0.13793103448275862,7.606420963432253,101.70272975249632,3.5069906811205622,30.439,1.0496206896551725,4,4.0,0.40427971008322217,4,4.0
20.0,8,38.0,1.0,7.486014387863918,174.77194936966976,4.599261825517625,48.75299999999999,1.2829736842105264,8,38.0,0.36869279372678937,8,38.0
25.0,15,93.0,2.066666666666667,6.519815930894149,269.143751799957,5.980972262221266,65.689,1.4597555555555557,13,93.0,0.30934971030176445,13,93.0
30.0,23,173.0,3.46,5.232214924952359,375.3682519505234,7.50736503901047,64.98899999999999,1.2997800000000002,22,173.0,0.21162689228067874,22,173.0
35.0,20,196.0,3.769230769230769,5.387603557120979,520.4170694909379,10.008020567133421,83.28099999999999,1.6015576923076922,19,206.0,0.23091751122489879,19,206.0
40.0,28,302.0,5.033333333333333,5.313657420059071,659.7661124750067,10.996101874583445,104.315,1.7385833333333336,24,302.0,0.17507266259328974,24,302.0
45.0,35,430.0,6.231884057971015,5.445092473514675,837.7475504580203,12.141268847217685,122.02699999999997,1.7685072463768117,33,430.0,0.18510065366663128,33,430.0
50.0,35,590.0,8.309859154929578,4.363490790706257,971.0968316859565,13.67742016459094,148.565,2.0924647887323946,32,581.0,0.16213020117640095,32,581.0
55.0,41,768.0,10.24,3.5313744291946407,1165.0905209372665,15.534540279163545,178.039,2.3738533333333334,39,765.0,0.13520205089603857,39,765.0
60.0,38,663.0,8.61038961038961,3.6986228842970803,1373.7927509239091,17.8414642977131,181.75199999999998,2.3604155844155845,38,808.0,0.12358670391713097,38,808.0
65.0,36,791.0,10.012658227848101,4.678280180615759,1598.4296283952892,20.233286435383413,200.38599999999997,2.5365316455696196,36,880.0,0.16442159742607976,36,880.0
70.0,41,985.0,12.012195121951219,5.036088016681891,1781.9347623352246,21.730911735795424,223.48999999999995,2.7254878048780484,41,991.0,0.15893718265785067,41,991.0
75.0,47,1206.0,13.4,4.542316825822123,1919.4156195134917,21.326840216816574,243.23899999999998,2.702655555555556,46,1206.0,0.1050368131117109,46,1206.0
80.0,51,1451.0,16.303370786516854,4.071973711980855,1981.9261033820485,22.268832622270207,241.759,2.7163932584269666,50,1451.0,0.12487200950559027,50,1451.0
85.0,59,1719.0,19.1,3.251586670088503,2215.230353324356,24.61367059249284,250.41799999999998,2.782422222222222,57,1719.0,0.0983132683027043,57,1719.0
90.0,54,1772.0,19.26086956521739,2.9391577274179714,2484.4066314079755,27.004419906608444,228.57199999999995,2.4844782608695652,54,1878.0,0.10153775577087798,54,1878.0
95.0,58,2025.0,21.09375,3.6110196440441817,2816.48782647623,29.33841485912741,244.59799999999996,2.5478958333333335,58,2068.0,0.1254368671292422,58,2068.0
100.0,64,2320.0,22.524271844660195,3.4312155606856005,3175.7179216563036,30.8322128316146,296.5179999999999,2.8788155339805823,63,2336.0,0.08132881705489073,63,2336.0
105.0,80,2666.0,24.236363636363638,2.580239920183547,3456.720469665908,31.424731542417344,324.4659999999999,2.949690909090909,77,2680.0,0.05168218650248809,77,2680.0
110.0,58,1963.0,17.526785714285715,3.227512712826371,3748.3438128985326,33.46735547230832,378.5209999999999,3.379651785714286,56,2424.0,0.08696177204993338,56,2424.0
115.0,54,2011.0,17.640350877192983,4.230048592719663,4043.2089227318775,35.46674493624454,403.5479999999999,3.5398947368421054,53,2361.0,0.12814821737685297,53,2361.0
120.0,57,2274.0,19.603448275862068,4.536652330690168,4273.336533805753,36.8391080500496,389.6279999999999,3.358862068965517,56,2360.0,0.13091787760993803,56,2360.0
125.0,63,2566.0,22.120689655172413,3.615894215835982,3941.7622236949273,33.98070882495629,450.96799999999985,3.887655172413793,61,2652.0,0.09199228289920926,61,2652.0
130.0,73,2909.0,27.443396226415093,3.1001377729418382,3900.5991707477856,36.798105384413084,367.8449999999999,3.470235849056604,73,2996.0,0.06331200335563937,73,2996.0
135.0,77,3266.0,29.69090909090909,2.703743621747596,4110.327835099378,37.366616682721606,366.0059999999999,3.327327272727273,76,3353.0,0.06276824071837883,76,3353.0
140.0,84,3659.0,32.96396396396396,2.4699996727190183,4459.2492012899,40.17341622783694,352.4609999999999,3.175324324324324,82,3746.0,0.049676522575416014,82,3746.0
145.0,91,4077.0,34.260504201680675,2.1429394351432887,4895.208083424864,41.136202381721546,391.2249999999999,3.2876050420168066,89,4164.0,0.03786924431038395,89,4164.0
150.0,91,4518.0,37.96638655462185,2.0909929416382043,5326.4647396925175,44.76020789657577,409.1559999999999,3.438285714285714,91,4605.0,0.04995345986184878,91,4605.0
155.0,87,4482.0,37.35,1.9763501383658852,5790.5381213758155,48.254484344798456,396.1699999999999,3.3014166666666673,86,4831.0,0.051753108829822744,86,4831.0
160.0,89,4666.0,36.74015748031496,2.4990355887535265,6280.296849341951,49.45115629403111,406.5469999999999,3.2011574803149614,89,5064.0,0.0552621984878617,89,5064.0
165.0,81,4994.0,38.41538461538462,3.221922972853977,6775.804761610816,52.12157508931397,458.0809999999999,3.5237,81,5251.0,0.0851753987919909,81,5251.0
170.0,93,5427.0,39.32608695652174,2.6970089294488413,7153.689944113842,51.83833292836118,554.0129999999999,4.01458695652174,89,5681.0,0.07767707934483388,89,5681.0
175.0,103,5921.0,42.292857142857144,1.9053836308828747,7342.166472962198,52.44404623544429,597.848,4.270342857142857,98,6153.0,0.044376383624118096,98,6153.0
180.0,102,6220.0,44.42857142857143,1.7664047933944274,7696.82912414375,54.977350886741085,689.3509999999999,4.923935714285713,100,6544.0,0.03515488164147709,100,6544.0
185.0,106,6710.0,46.59722222222222,2.3583196886506714,8173.132194100551,56.757862459031614,674.106,4.681291666666667,105,6991.0,0.04859618074215323,105,6991.0
190.0,110,7244.0,49.95862068965517,2.564957236184184,8695.882913812222,59.97160630215324,640.478,4.417089655172414,109,7501.0,0.04422792858908159,109,7501.0
195.0,111,7793.0,53.37671232876713,2.255842878586159,9181.225357349706,62.88510518732674,701.8419999999999,4.80713698630137,111,8050.0,0.03469101752342053,111,8050.0
200.0,121,8376.0,56.5945945945946,1.5784162821075267,9636.774583097938,65.11334177768876,644.6289999999999,4.3556013513513525,119,8633.0,0.02078802469482391,119,8633.0
205.0,87,3871.0,26.155405405405407,2.5170563958689156,10177.251609309136,68.76521357641307,523.5309999999998,3.537371621621621,86,6688.0,0.06839112833303089,86,6688.0
210.0,66,2730.0,17.84313725490196,4.709361065497653,10688.524478923811,69.85963711714913,586.347,3.832333333333333,66,5037.0,0.1340832515509144,66,5037.0
215.0,63,2397.0,15.464516129032258,6.2537186631715045,11125.257844442513,71.77585706091946,620.6139999999999,4.0039612903225805,61,3845.0,0.1405879466569739,61,3845.0
220.0,66,2723.0,18.2751677852349,5.821883726901236,8762.589550319997,58.80932584107383,830.328,5.5726711409395975,62,3489.0,0.11932727682354198,62,3489.0
225.0,77,3074.0,22.437956204379564,4.53981604623005,6783.011606588419,49.511033624733,1103.6419999999998,8.055781021897811,68,3811.0,0.09701323381539335,68,3811.0
230.0,87,3472.0,28.227642276422763,2.7091697953316003,5554.833948575468,45.161251614434725,1289.669,10.485113821138212,76,4165.0,0.05481008505100003,76,4165.0
235.0,63,2079.0,17.325,3.3546464935510687,5522.118749786711,46.0176562482226,1469.907,12.249225000000001,58,3534.0,0.09101775786984258,58,3534.0
240.0,53,1832.0,15.394957983193278,4.248394113541908,5801.963085902349,48.75599231850713,1544.604,12.97986554621849,48,3217.0,0.12759301660910152,48,3217.0
