step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.176317619984704,26.12337231055531,1.865955165039665,15.0,1.0714285714285714,0,0.0,0.47906726101359,0,0.0
10.0,4,0.0,0.0,8.085978190896371,52.50260053333929,2.187608355555804,26.29,1.0954166666666667,2,0.0,0.6441225650137519,2,0.0
15.0,2,3.0,0.10344827586206896,8.061132364930302,99.85415195536692,3.4432466191505835,30.439,1.0496206896551725,2,3.0,0.5188602926190616,2,3.0
20.0,8,36.0,0.9473684210526315,7.677444504068225,170.7014590723946,4.492143659799857,48.75299999999999,1.2829736842105264,8,36.0,0.36927023730590297,8,36.0
25.0,14,87.0,1.9772727272727273,6.941787023147321,256.57111339427996,5.831161668051817,65.689,1.4929318181818183,12,87.0,0.31255141797783986,12,87.0
30.0,22,167.0,3.34,6.128602743149504,362.97779942536425,7.259555988507285,67.78899999999999,1.35578,20,165.0,0.2142725673515235,20,165.0
35.0,22,259.0,5.078431372549019,5.538281580126671,483.26099199261876,9.475705725345467,88.23099999999998,1.7300196078431374,21,259.0,0.20834547927537733,21,259.0
40.0,32,380.0,6.440677966101695,4.175416186791781,634.4778723705299,10.7538622435683,103.163,1.7485254237288135,28,380.0,0.15765740185151558,28,380.0
45.0,29,351.0,5.571428571428571,4.318077468243455,793.8282424100145,12.60044829222245,112.99199999999999,1.7935238095238097,27,410.0,0.18225921653211377,27,410.0
50.0,27,474.0,7.074626865671642,5.437054821974622,981.1912523331439,14.644645557211103,138.708,2.070268656716418,27,484.0,0.22632440562014772,27,484.0
55.0,33,626.0,8.236842105263158,5.161164295379992,1186.7739428964185,15.615446617058138,167.90699999999998,2.2093026315789475,32,625.0,0.18596914061562578,32,625.0
60.0,45,818.0,10.487179487179487,4.030499960111622,1290.7697403909517,16.5483300050122,177.64199999999997,2.277461538461538,41,802.0,0.1176996799114274,41,802.0
