step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.297614040688079,26.0556641223972,1.8611188658855142,15.0,1.0714285714285714,0,0.0,0.47644644339324116,0,0.0
10.0,4,0.0,0.0,8.039461835314707,52.77573085973308,2.1989887858222117,26.29,1.0954166666666667,2,0.0,0.6450761943810094,2,0.0
15.0,2,2.0,0.06896551724137931,7.860323986854031,104.95275932405288,3.619060666346651,30.439,1.0496206896551725,2,2.0,0.48300540587798324,2,2.0
20.0,8,35.0,0.9210526315789473,7.5749557087586625,177.31337808575577,4.6661415285725205,47.75299999999999,1.256657894736842,8,35.0,0.32995248976918234,8,35.0
25.0,14,91.0,2.0681818181818183,6.536793685880453,263.89953215550236,5.99771663989778,64.689,1.4702045454545456,12,91.0,0.31299938378440884,12,91.0
30.0,21,167.0,3.2745098039215685,5.93327319035303,381.5772462114009,7.481906788458841,66.78899999999999,1.3095882352941177,19,165.0,0.24427665728043463,19,165.0
35.0,23,262.0,5.137254901960785,5.655812333269533,477.938807030987,9.371349157470334,84.59799999999998,1.65878431372549,22,262.0,0.19455189061247719,22,262.0
40.0,31,379.0,6.213114754098361,5.265327244435117,634.674826171561,10.404505347074771,109.76299999999999,1.799393442622951,27,379.0,0.18154622245461635,27,379.0
45.0,34,515.0,8.046875,4.929684066930671,783.8881737976985,12.248252715589036,118.24099999999999,1.8475156250000002,32,515.0,0.16822413403517622,32,515.0
50.0,33,669.0,10.136363636363637,4.66317683099074,961.9265806077003,14.574645160722733,142.308,2.1561818181818184,33,669.0,0.15226841626524454,33,669.0
55.0,39,848.0,12.289855072463768,4.045936044811732,1160.565855881115,16.819795012769788,154.90499999999997,2.2450000000000006,38,848.0,0.14431816160725724,38,848.0
60.0,47,1057.0,15.1,2.6297565659177913,1389.734108651473,19.85334440930676,163.14999999999998,2.330714285714286,47,1057.0,0.078642817380084,47,1057.0
65.0,44,975.0,12.828947368421053,3.226332698939779,1674.6254636517988,22.034545574365772,198.82399999999998,2.6161052631578947,44,1109.0,0.10106460993528103,44,1109.0
70.0,41,1039.0,12.82716049382716,3.971049535848703,1955.765861725128,24.14525755216208,224.39199999999997,2.770271604938272,40,1182.0,0.1111617618691619,40,1182.0
75.0,49,1248.0,13.419354838709678,4.205972723677002,2252.4378929372097,24.219762289647406,251.523,2.7045483870967746,45,1289.0,0.12225972460649576,45,1289.0
80.0,52,1489.0,15.350515463917526,4.368987249334375,2346.7261806955744,24.193053409232736,292.86499999999995,3.0192268041237114,49,1487.0,0.14551994214701114,49,1487.0
85.0,63,1768.0,18.040816326530614,3.1139888252091286,2535.972692151604,25.87727236889392,312.5009999999999,3.188785714285715,58,1753.0,0.06886839337318518,58,1753.0
90.0,62,1467.0,14.10576923076923,2.698118186912545,2787.957000321694,26.807278849247066,341.2259999999999,3.281019230769231,53,1692.0,0.07605461536894854,53,1692.0
95.0,45,759.0,7.368932038834951,3.868962857920604,3027.39021669486,29.392138026163707,340.644,3.307223300970874,40,1394.0,0.14530680002833285,40,1394.0
100.0,39,702.0,6.882352941176471,4.564055440114588,3254.0708808590753,31.902655694696826,292.34399999999994,2.866117647058824,34,1161.0,0.17624833616221566,34,1161.0
105.0,41,796.0,7.580952380952381,4.801922375088555,3263.4443362107304,31.080422249625997,288.27999999999986,2.7455238095238093,37,1123.0,0.15440886053142397,37,1123.0
110.0,40,974.0,9.643564356435643,4.955264659609059,3028.831133410503,29.988427063470333,366.1919999999999,3.6256633663366333,39,1214.0,0.14133481925614338,39,1214.0
115.0,43,1182.0,12.574468085106384,4.616575212316904,2696.0927674892364,28.68183795201316,361.4079999999999,3.8447659574468087,43,1309.0,0.13435688353765776,43,1309.0
120.0,48,1409.0,14.677083333333334,4.142573928469712,2737.751025258909,28.518239846446978,431.3799999999999,4.493541666666666,47,1458.0,0.1219511781626975,47,1458.0
125.0,56,1662.0,16.959183673469386,3.5183944811107084,2738.8646454384516,27.947598422841352,499.2569999999999,5.09445918367347,50,1673.0,0.10910895582294527,50,1673.0
130.0,59,1922.0,20.231578947368423,3.2731939341196505,2915.369552271881,30.688100550230335,475.4989999999999,5.005252631578948,57,1940.0,0.07647170161992267,57,1940.0
