step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.295127754761573,29.494101815701896,2.106721558264421,15.0,1.0714285714285714,0,0.0,0.3854307595032865,0,0.0
10.0,2,0.0,0.0,10.156831395913013,61.60934312290858,2.8004246874049357,22.023,1.0010454545454546,0,0.0,0.7996809168828991,0,0.0
15.0,4,5.0,0.16666666666666666,7.877881872082038,113.06201713734018,3.768733904578005,29.072999999999997,0.9690999999999999,4,5.0,0.44258267194377765,4,5.0
20.0,8,40.0,1.0810810810810811,7.3927563500661595,186.97996945276893,5.053512687912675,40.234,1.0874054054054054,8,40.0,0.4026991629383334,8,40.0
25.0,17,101.0,2.2444444444444445,6.476114439407935,282.0928687728571,6.268730417174604,56.80899999999999,1.2624222222222223,16,101.0,0.29366368479086125,16,101.0
30.0,22,186.0,3.576923076923077,5.683314070349842,399.912873782552,7.690632188126003,59.23400000000001,1.1391153846153845,22,186.0,0.25880836755655273,22,186.0
35.0,25,290.0,5.37037037037037,5.269901350026941,523.15697679319,9.688092162836849,74.73099999999997,1.3839074074074074,25,290.0,0.224272513043667,25,290.0
40.0,32,417.0,6.836065573770492,4.488432180923582,677.822683105621,11.111847264026572,95.20099999999998,1.5606721311475407,29,417.0,0.16092634453224197,29,417.0
45.0,38,574.0,8.830769230769231,4.441504780424415,865.2769719954284,13.31195341531428,114.26199999999996,1.7578769230769233,35,574.0,0.17443388935556559,35,574.0
50.0,41,753.0,11.073529411764707,3.4018994130526163,1062.972566456674,15.631949506715792,125.62399999999995,1.8474117647058823,38,753.0,0.11320591068064759,38,753.0
55.0,46,960.0,12.8,3.2364026613429258,1310.1673076668521,17.46889743555803,153.26399999999995,2.04352,43,960.0,0.09983770449549603,43,960.0
60.0,55,1197.0,14.777777777777779,2.6933317335811235,1576.7903282344587,19.466547262153814,176.68399999999994,2.181283950617284,50,1193.0,0.10634061583970422,50,1193.0
65.0,55,1228.0,14.795180722891565,2.4189040962799697,1891.3326066633838,22.787139839317874,169.10299999999995,2.037385542168675,50,1282.0,0.0924384266235439,50,1282.0
70.0,59,1400.0,15.909090909090908,2.5886705818460767,2224.3743226955694,25.27698093972239,172.90599999999995,1.9648409090909091,53,1463.0,0.0770071135960062,53,1463.0
75.0,60,1637.0,17.98901098901099,2.988209057820358,2565.5060329703933,28.192373988685635,163.16099999999997,1.792978021978022,54,1672.0,0.09940807668910294,54,1672.0
80.0,65,1948.0,20.291666666666668,2.828507640554921,2815.9768931931744,29.333092637428905,169.24599999999998,1.7629791666666665,57,1885.0,0.0923466032464599,57,1885.0
85.0,71,2289.0,23.5979381443299,2.3027762914799985,3025.7198967959516,31.192988626762403,171.99099999999999,1.773103092783505,62,2183.0,0.09297515959562222,62,2183.0
90.0,69,2039.0,20.18811881188119,1.6519246545157513,3359.410801757455,33.26149308670748,175.85399999999998,1.7411287128712873,59,2166.0,0.06392400084196322,59,2166.0
95.0,52,1206.0,11.70873786407767,3.089362490086473,3677.547710707481,35.70434670589789,175.79499999999996,1.706747572815534,45,1873.0,0.12019370800483002,45,1873.0
100.0,45,936.0,8.830188679245284,4.21185525606912,3974.410822364101,37.49444172041605,177.48,1.6743396226415093,36,1606.0,0.16713605539747822,36,1606.0
105.0,40,803.0,7.5046728971962615,5.0554334144819455,4019.8066650501555,37.5682865892538,175.85099999999997,1.643467289719626,40,1435.0,0.18653700459252326,40,1435.0
110.0,44,1002.0,9.542857142857143,5.177977359422205,3586.793571336294,34.159938774631385,322.30999999999995,3.0696190476190477,42,1483.0,0.2004856965721839,42,1483.0
115.0,48,1219.0,11.950980392156863,4.600586996459777,3388.64536693499,33.22201340132342,423.291,4.149911764705883,45,1541.0,0.14051016380752346,45,1541.0
120.0,50,1453.0,14.106796116504855,4.301710583951323,3281.933837226187,31.863435312875595,564.1450000000001,5.477135922330098,49,1706.0,0.13458513066181738,49,1706.0
125.0,54,1706.0,16.89108910891089,4.079355709497919,3341.560641805049,33.08475882975296,724.1,7.16930693069307,53,1815.0,0.12271376697312625,53,1815.0
130.0,56,1973.0,19.534653465346533,3.952632857458135,3391.5238121333246,33.57944368448835,795.6240000000001,7.8774653465346525,55,2013.0,0.1038176785452218,55,2013.0
135.0,60,2262.0,22.848484848484848,3.5556984536157152,3341.2445609673637,33.7499450602764,852.6780000000001,8.61290909090909,60,2302.0,0.1017066736890923,60,2302.0
140.0,71,2585.0,25.097087378640776,2.6831562981299277,3542.9007157853234,34.397094328012855,996.8130000000001,9.677796116504854,70,2625.0,0.06321213779797168,70,2625.0
145.0,74,2888.0,27.245283018867923,2.2637311821327257,3703.2180156423915,34.93601901549426,966.134,9.114471698113206,72,2948.0,0.06522305316753,72,2948.0
150.0,74,3225.0,29.318181818181817,2.879341850365887,4040.101349468291,36.72819408607538,977.644,8.887672727272726,73,3280.0,0.08361372349786053,73,3280.0
155.0,77,3590.0,30.683760683760685,2.774410561122689,4473.638984070415,38.23623063308047,1120.9210000000003,9.58052136752137,76,3641.0,0.07486614106215665,76,3641.0
160.0,85,3991.0,34.111111111111114,2.1292115273723398,4829.9025445801135,41.28121832974456,932.5369999999999,7.970401709401709,85,4042.0,0.06929439987158487,85,4042.0
165.0,49,1504.0,12.638655462184873,3.152494917162495,5226.708474196913,43.921919951234564,904.741,7.602865546218487,49,2803.0,0.09872388644558386,49,2803.0
170.0,45,1368.0,11.121951219512194,5.783722548527768,5590.570708425202,45.45179437744066,921.0229999999999,7.4879918699187,44,2148.0,0.18107458620197706,44,2148.0
175.0,50,1534.0,12.174603174603174,6.469544912624732,5504.293144922421,43.68486622954301,1000.0889999999999,7.937214285714286,49,1903.0,0.10855438009766126,49,1903.0
180.0,53,1770.0,15.258620689655173,5.506702836844798,4214.308429820518,36.330245084659616,1145.9250000000002,9.878663793103449,48,2021.0,0.12450431061715382,48,2021.0
185.0,59,2040.0,18.71559633027523,4.566108668239197,3627.8082510658505,33.28264450519128,1294.3260000000002,11.874550458715596,52,2182.0,0.10088047842173241,52,2182.0
190.0,64,2339.0,23.867346938775512,3.7772444209555935,3434.514224246206,35.046063512716394,1301.7970000000003,13.283642857142857,55,2438.0,0.1125311042845029,55,2438.0
195.0,64,2655.0,28.548387096774192,3.0422958170229406,3520.614531322677,37.8560702292761,1375.747,14.792978494623657,57,2719.0,0.051647047039253886,57,2719.0
200.0,70,2995.0,31.197916666666668,2.5119082669545016,3853.235931987091,40.1378742915322,1386.3720000000003,14.441374999999999,60,3013.0,0.05766680764681115,60,3013.0
205.0,74,3362.0,36.1505376344086,2.1528347659008027,4187.457262204651,45.02642217424355,1294.556,13.919956989247313,60,3313.0,0.07322710956267266,60,3313.0
210.0,69,3592.0,38.212765957446805,2.1267348012027796,4493.57574863511,47.80399732590543,1224.247,13.023904255319152,62,3618.0,0.058203764387200776,62,3618.0
215.0,73,3943.0,40.649484536082475,1.6422557666878654,4898.95675160204,50.50470877940247,1230.2720000000002,12.683216494845363,65,3933.0,0.04552064460167253,65,3933.0
220.0,76,4314.0,44.9375,1.850390914057905,5238.756800840589,54.570383342089464,1229.2050000000002,12.804218749999999,69,4270.0,0.06284210322788879,69,4270.0
225.0,73,3968.0,41.333333333333336,1.496938251450489,5561.011032669786,57.92719825697696,1228.7980000000002,12.799979166666667,64,4191.0,0.05101254766631106,64,4191.0
230.0,71,3782.0,38.98969072164948,2.348848780615208,5941.53103194759,61.25289723657311,1228.775,12.66778350515464,63,4056.0,0.0749525606353187,63,4056.0
235.0,75,3507.0,33.72115384615385,2.519082502550652,6338.3686060315495,60.94585198107259,1232.8790000000004,11.85460576923077,64,4084.0,0.07243337614556287,64,4084.0
240.0,72,3747.0,36.02884615384615,2.8782604390233186,6445.595087518498,61.97687584152405,1350.574,12.986288461538463,62,4129.0,0.10565066416732351,62,4129.0
245.0,81,4130.0,37.88990825688074,2.0221495597306194,6371.912714844477,58.45791481508696,1582.0490000000002,14.514211009174312,70,4462.0,0.07342919248060059,70,4462.0
250.0,79,3561.0,32.669724770642205,1.7175407813555328,6298.746477876194,57.78666493464401,1693.4270000000001,15.536027522935779,65,4260.0,0.07617201308722198,65,4260.0
255.0,64,2221.0,19.830357142857142,2.835106275258949,6430.988718356471,57.41954212818276,1907.9000000000003,17.03482142857143,52,3740.0,0.101287793871198,52,3740.0
260.0,54,1348.0,11.620689655172415,3.500317052805662,6849.614336110223,59.04839944922607,2117.5640000000003,18.25486206896552,42,3265.0,0.13974514780586825,42,3265.0
265.0,46,920.0,7.796610169491525,4.34911746384872,6856.368045423228,58.104813944264635,2119.9080000000004,17.965322033898303,43,3017.0,0.19522427609910323,43,3017.0
270.0,48,1129.0,9.817391304347826,4.606802478282976,6346.0544268723315,55.183081972802896,2344.2290000000003,20.3846,47,3171.0,0.17534829896522508,47,3171.0
