step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.011889359108173,25.92068101707795,1.7280454011385298,18.0,1.2,0,0.0,0.5278943900676326,0,0.0
10.0,2,0.0,0.0,9.585618625658569,52.02041249547743,2.4771624997846393,54.577,2.5989047619047616,1,0.0,0.7857779982204017,1,0.0
15.0,5,8.0,0.36363636363636365,6.891244959660359,95.08264413480734,4.32193836976397,54.714,2.487,5,8.0,0.387763325897755,5,8.0
20.0,11,48.0,1.8461538461538463,4.887569155886045,172.86274145475147,6.648566979028903,55.482000000000006,2.133923076923077,11,48.0,0.15252241234052094,11,48.0
25.0,16,116.0,4.64,3.876296020681415,248.69520751395333,9.947808300558131,53.487,2.1394800000000003,16,116.0,0.17282796987201954,16,116.0
30.0,18,198.0,8.25,1.6969413228274952,334.80839996625474,13.950349998593945,47.829,1.992875,18,198.0,0.023146844062221998,18,198.0
35.0,14,176.0,6.285714285714286,2.8774525455650553,438.28347733556217,15.652981333412935,50.199,1.7928214285714288,13,208.0,0.10748198565219153,13,208.0
40.0,15,250.0,8.333333333333334,3.338299715739238,544.1080468599203,18.136934895330672,51.971000000000004,1.7323666666666668,14,266.0,0.1490306896213013,14,266.0
45.0,20,333.0,10.741935483870968,2.735554842234039,648.2329795986838,20.9107412773769,46.959,1.5148064516129034,20,356.0,0.006237228248731772,20,356.0
50.0,22,441.0,13.363636363636363,2.392942988754143,729.9781428334395,22.120549782831503,40.263000000000005,1.2200909090909091,22,464.0,0.06038202431736162,22,464.0
55.0,23,442.0,12.628571428571428,2.752445588033549,810.7674390715367,23.164783973472474,33.967,0.9704857142857143,22,462.0,0.06632159803773753,22,462.0
60.0,25,562.0,16.057142857142857,2.4759424074859893,914.2379745608353,26.121084987452434,34.717,0.9919142857142856,22,572.0,0.024234162543209557,22,572.0
65.0,29,699.0,17.923076923076923,1.5411956266131825,1025.3138622558351,26.290099032200903,37.611000000000004,0.9643846153846155,25,694.0,0.041187203846078636,25,694.0
70.0,33,858.0,22.0,1.2417631946373517,1113.865613207378,28.560656748907125,35.349000000000004,0.9063846153846155,28,832.0,0.013903122411363746,28,832.0
75.0,24,494.0,12.048780487804878,2.8627998757544155,1282.6724657365091,31.284694286256325,36.334,0.8861951219512196,17,608.0,0.10077298951275754,17,608.0
80.0,25,488.0,10.608695652173912,3.7178907585173544,1440.5153824466352,31.315551792318157,42.292000000000016,0.9193913043478262,19,566.0,0.06037552966106358,19,566.0
85.0,21,530.0,11.041666666666666,4.963723050018022,1530.2326620260167,31.87984712554201,42.798000000000016,0.891625,18,626.0,0.1833025976184183,18,626.0
90.0,22,631.0,14.340909090909092,4.002308677620573,1438.5289078939436,32.69383881577144,57.31600000000001,1.3026363636363636,19,709.0,0.11795076456328937,19,709.0
95.0,24,719.0,15.977777777777778,3.4072620503435336,1504.6292367473623,33.43620526105251,61.729000000000006,1.3717555555555556,22,798.0,0.07600777960746209,22,798.0
100.0,26,832.0,18.08695652173913,2.852478437352123,1591.9636347288902,34.60790510280197,59.351000000000006,1.2902391304347827,24,893.0,0.06367135586931803,24,893.0
105.0,26,955.0,21.22222222222222,2.908372716542808,1569.8231952868377,34.88495989526306,56.336000000000006,1.251911111111111,24,984.0,0.07135237823830734,24,984.0
110.0,27,1081.0,24.022222222222222,3.405479873236409,1614.177446215036,35.870609915889695,55.874,1.2416444444444446,25,1096.0,0.07405642648192769,25,1096.0
115.0,28,1219.0,25.395833333333332,3.626048493707545,1723.6140721886559,35.90862650393033,58.827999999999996,1.2255833333333332,26,1226.0,0.0966561956516691,26,1226.0
120.0,34,1370.0,28.541666666666668,3.136975567005296,1759.7663922895922,36.6617998393665,57.385999999999996,1.1955416666666667,27,1359.0,0.0724983459880517,27,1359.0
125.0,35,1532.0,33.30434782608695,2.1703107324774007,1857.3475400828552,40.3771204365838,50.84299999999999,1.1052826086956522,28,1495.0,0.036592847880798376,28,1495.0
130.0,39,1710.0,34.89795918367347,1.7001801623192803,2035.8887771839877,41.54875055477526,49.681,1.0138979591836734,29,1639.0,0.05924103568418988,29,1639.0
135.0,42,1902.0,37.294117647058826,1.782777184778391,2233.921641947807,43.802385136231514,50.903,0.9980980392156863,30,1789.0,0.05414846599465131,30,1789.0
140.0,39,2042.0,40.84,1.7454907814620788,2435.878110655067,48.717562213101345,50.653,1.0130599999999998,31,1940.0,0.07298191087803714,31,1940.0
