step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.607293237089179,28.100220425178776,1.8733480283452522,18.0,1.2,0,0.0,0.48580735235167544,0,0.0
10.0,2,0.0,0.0,9.86059819382139,53.60518793690561,2.552627996995505,54.577,2.5989047619047616,1,0.0,0.7643567845899549,1,0.0
15.0,2,2.0,0.09090909090909091,6.774184405863763,94.04774688550849,4.274897585704931,54.714,2.487,2,2.0,0.3832056075450145,2,2.0
20.0,10,40.0,1.5384615384615385,4.510203212186543,171.71675170517776,6.604490450199143,55.482000000000006,2.133923076923077,10,40.0,0.09962674000804911,10,40.0
25.0,16,109.0,4.037037037037037,4.663340301591137,257.28253798527214,9.528982888343412,56.487,2.092111111111111,16,109.0,0.1766126091176652,16,109.0
30.0,19,193.0,8.041666666666666,1.724708189756332,336.88055224569007,14.036689676903757,47.829,1.992875,19,193.0,0.026861887284294145,19,193.0
35.0,21,296.0,10.571428571428571,1.7100836410580313,449.57752267420335,16.056340095507263,50.199,1.7928214285714288,21,294.0,0.05801507771322773,21,294.0
40.0,14,258.0,8.6,3.5895396586395325,558.9521531710624,18.631738439035413,51.971000000000004,1.7323666666666668,14,287.0,0.12588923023207105,14,287.0
45.0,15,329.0,10.28125,4.3893146042952775,668.5371699921071,20.89178656225334,52.959,1.65496875,14,333.0,0.09272423630879832,14,333.0
50.0,18,412.0,11.771428571428572,3.661458955114642,757.1116515748148,21.63176147356613,52.263000000000005,1.4932285714285713,18,417.0,0.12213744304360023,18,417.0
55.0,22,512.0,14.222222222222221,3.672341717110396,840.5523628507137,23.348676745853155,54.50100000000001,1.5139166666666668,22,517.0,0.06454858771347644,22,517.0
60.0,16,501.0,14.735294117647058,4.222795143495037,857.3823835289936,25.21712892732334,52.114000000000004,1.5327647058823528,16,508.0,0.10769862345041341,16,508.0
65.0,20,594.0,16.054054054054053,4.764860234533382,942.5438360231918,25.474157730356538,54.48100000000001,1.4724594594594596,19,601.0,0.08446221417147101,19,601.0
70.0,20,694.0,19.27777777777778,4.439405189148817,962.7771699212828,26.743810275591184,54.12300000000001,1.5034166666666666,20,701.0,0.05933517318135839,20,701.0
75.0,24,805.0,25.15625,2.127647651186019,1010.1743773750118,31.567949292969118,51.958000000000006,1.6236875,22,810.0,0.05469569219651753,22,810.0
80.0,23,743.0,20.63888888888889,2.2476251562674543,1134.628094304161,31.517447064004468,57.289000000000016,1.5913611111111112,19,805.0,0.05197637395610835,19,805.0
85.0,18,790.0,19.75,4.306153963222277,1267.6062715551914,31.690156788879783,64.19000000000003,1.60475,17,818.0,0.13566188307444052,17,818.0
90.0,20,877.0,21.925,3.9330247831006844,1366.631155941062,34.16577889852654,63.536000000000016,1.5884,19,919.0,0.08984087777190261,19,919.0
95.0,26,994.0,24.85,2.373556884007551,1430.9216920391534,35.77304230097883,64.75400000000002,1.6188500000000001,26,1036.0,0.02355433086364251,26,1036.0
100.0,23,439.0,10.975,2.406892097405296,1438.0917210315372,35.952293025788414,63.211000000000006,1.580275,21,766.0,0.11301296282735301,21,766.0
105.0,28,561.0,13.046511627906977,2.1236717745867604,1609.3382966845259,37.42647201591921,65.24900000000001,1.5174186046511626,25,808.0,0.06527669214754102,25,808.0
110.0,35,717.0,16.295454545454547,1.8942887782527635,1711.6227343904332,38.90051669069166,60.624,1.3778181818181818,30,950.0,0.03304614192036189,30,950.0
115.0,31,853.0,17.770833333333332,2.184758343780944,1817.9717319190643,37.87441108164717,55.870000000000005,1.1639583333333332,29,1099.0,0.05206035538251649,29,1099.0
120.0,28,726.0,14.816326530612244,3.5909682367607485,1895.2969927508811,38.679530464303696,56.37400000000001,1.1504897959183673,21,983.0,0.10308999460284811,21,983.0
125.0,30,865.0,17.3,4.301978542159068,1959.2697765035941,39.18539553007188,55.076,1.10152,23,1072.0,0.012406361477899246,23,1072.0
130.0,31,1008.0,21.0,3.6032988157719514,1761.8844426592325,36.70592588873401,49.526,1.0317916666666667,25,1196.0,0.05787549080502934,25,1196.0
135.0,35,1168.0,26.545454545454547,1.956564413110906,1785.3948385824629,40.577155422328694,44.953,1.021659090909091,27,1326.0,0.07509593824000256,27,1326.0
140.0,21,909.0,22.170731707317074,3.4620182300322067,1887.6644909738168,46.0405973408248,44.193999999999996,1.0779024390243903,15,1149.0,0.14349278281430197,15,1149.0
145.0,21,829.0,19.27906976744186,4.084492265215652,2029.7155218620444,47.20268655493126,46.056000000000004,1.0710697674418606,17,1112.0,0.13871328297792246,17,1112.0
150.0,22,855.0,19.0,3.6381827264713036,2124.328616119827,47.20730258044059,66.605,1.4801111111111112,19,1259.0,0.061707685827413504,19,1259.0
155.0,23,962.0,22.904761904761905,2.8766653712115406,2085.1569299956395,49.64659357132475,77.95800000000001,1.856142857142857,23,1392.0,0.047057256281443444,23,1392.0
160.0,23,451.0,10.022222222222222,3.4961851361786143,2162.985512039502,48.06634471198893,103.12100000000002,2.291577777777778,21,1172.0,0.11073186928651833,21,1172.0
165.0,30,574.0,12.478260869565217,3.053396493557121,2091.4807080375435,45.466971913859645,107.66500000000002,2.34054347826087,23,1051.0,0.0544862397092605,23,1051.0
