step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.818378792704704,30.452221029299118,2.0301480686199413,18.0,1.2,0,0.0,0.3509645216105093,0,0.0
10.0,3,0.0,0.0,9.449340889853143,59.79537758197219,2.847398932474866,54.742999999999995,2.606809523809524,1,0.0,0.7175463519863641,1,0.0
15.0,3,2.0,0.08333333333333333,6.1054864209187185,98.70820507375024,4.112841878072927,57.074,2.378083333333333,2,2.0,0.39603760051004605,2,2.0
20.0,11,41.0,1.64,4.7613695203576105,172.8563843989475,6.9142553759579,57.559999999999995,2.3024,11,41.0,0.17898388784444247,11,41.0
25.0,16,112.0,4.148148148148148,4.3745345744058435,257.05380949553705,9.52051146279767,59.761,2.2133703703703707,16,112.0,0.09350060620112281,16,112.0
30.0,18,193.0,6.892857142857143,3.192983068122076,329.46223389508395,11.766508353395851,58.117000000000004,2.0756071428571428,17,193.0,0.06296575563160202,17,193.0
35.0,22,283.0,9.433333333333334,3.2152956881651944,434.46420018176804,14.482140006058932,59.23400000000001,1.9744666666666668,20,283.0,0.12416992496208713,20,283.0
40.0,21,384.0,13.241379310344827,1.3337890192064992,542.5284276556863,18.70787681571332,58.29500000000001,2.0101724137931036,21,384.0,0.044676974708873066,21,384.0
45.0,15,310.0,9.6875,3.6212354282631356,666.6690265405977,20.833407079393673,60.24900000000001,1.8827812499999999,15,351.0,0.07829190699223265,15,351.0
50.0,17,382.0,11.235294117647058,4.7495453761622715,770.070714647912,22.649138666115068,61.129000000000005,1.7979117647058822,15,391.0,0.15663353662566384,15,391.0
55.0,15,455.0,12.63888888888889,4.511245394330643,835.7120907568697,23.214224743246387,60.61700000000001,1.6838055555555558,15,455.0,0.09872462374495694,15,455.0
60.0,18,540.0,15.0,5.001303914021618,870.8363844815307,24.18989956893141,60.73100000000001,1.6869722222222223,18,540.0,0.11355635611878451,18,540.0
65.0,21,635.0,16.710526315789473,4.135032777824859,948.0954092791654,24.94987919155699,67.193,1.768236842105263,21,635.0,0.11045512434366353,21,635.0
70.0,15,599.0,17.61764705882353,4.205540932677485,914.2826662115123,26.890666653279766,62.571999999999996,1.8403529411764705,15,599.0,0.1580615934781791,15,599.0
75.0,19,686.0,19.055555555555557,5.145530668153378,1023.8441621367573,28.440115614909924,63.514,1.7642777777777778,17,681.0,0.09366590566389184,17,681.0
80.0,24,786.0,20.153846153846153,4.148527105140668,1065.9711884748183,27.33259457627739,65.87599999999999,1.6891282051282048,21,776.0,0.024308388545331995,21,776.0
85.0,21,881.0,25.17142857142857,3.609396778678224,1071.3519680359561,30.610056229598747,64.07799999999999,1.8308,21,881.0,0.09407293337523401,21,881.0
90.0,27,995.0,27.63888888888889,2.469081686126705,1209.1012150775366,33.58614486326489,64.363,1.7878611111111111,27,995.0,0.05532970009843363,27,995.0
95.0,19,942.0,25.45945945945946,2.7139956538757937,1330.0208407574116,35.94650920965977,63.919999999999995,1.7275675675675677,19,982.0,0.054064269793582295,19,982.0
100.0,22,1034.0,25.21951219512195,4.149991795844256,1464.2293969197528,35.71291211999398,65.233,1.591048780487805,20,1041.0,0.11911336881400521,20,1041.0
105.0,20,1134.0,25.772727272727273,4.553642276338437,1609.7545599266223,36.58533090742324,68.272,1.5516363636363637,20,1137.0,0.070952546892308,20,1137.0
110.0,26,1250.0,30.48780487804878,3.247424706633452,1623.1480874578158,39.588977742873574,66.754,1.6281463414634147,25,1253.0,0.09401148863855514,25,1253.0
115.0,24,1285.0,32.125,3.554623058564964,1652.120654034862,41.303016350871545,65.653,1.6413250000000001,23,1286.0,0.039367674000526855,23,1286.0
120.0,28,1410.0,32.7906976744186,4.28530319310981,1759.145278943998,40.910355324279024,68.45,1.591860465116279,24,1406.0,0.03831862667547437,24,1406.0
125.0,25,1523.0,34.61363636363637,4.304990576042521,1854.5334120509153,42.148486637520804,71.421,1.6232045454545456,24,1526.0,0.0634412611353849,24,1526.0
130.0,28,1652.0,41.3,2.5155112780365263,1894.2517627569234,47.356294068923106,68.80600000000001,1.7201500000000003,28,1655.0,0.05496282090493242,28,1655.0
135.0,19,609.0,15.225,2.409109956695919,2027.6656035506342,50.69164008876585,65.63900000000002,1.6409749999999999,18,1201.0,0.11876388234175274,18,1201.0
140.0,25,712.0,16.181818181818183,2.9529276537886733,2193.872447184688,49.860737436015626,71.43500000000002,1.6235227272727277,22,1087.0,0.10674363383240078,22,1087.0
145.0,27,810.0,17.23404255319149,2.8170288392146,2369.664096852439,50.418385039413586,72.89000000000001,1.5508510638297872,25,1087.0,0.0709336108262067,25,1087.0
