step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,ststem_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.714729496336853,26.720649900999895,1.7813766600666596,18.0,1.2,0,0.0,0.4482747349490382,0,0.0
10.0,3,0.0,0.0,9.50124701036628,52.29180548404764,2.49008597543084,54.742999999999995,2.606809523809524,1,0.0,0.7806591315105517,1,0.0
15.0,3,4.0,0.16666666666666666,5.908236516852668,95.90935197784596,3.9962229990769145,57.074,2.378083333333333,2,4.0,0.3559898155693204,2,4.0
20.0,12,49.0,1.8846153846153846,5.008540327567733,168.13139623001263,6.466592162692793,58.003,2.2308846153846154,11,49.0,0.1861772774457301,11,49.0
25.0,17,121.0,4.653846153846154,3.1371002883728822,256.0954995380743,9.84982690531055,58.761,2.2600384615384614,17,121.0,0.05896687985679316,17,121.0
30.0,19,210.0,7.5,2.497804450644142,353.64668794081626,12.630238855029152,54.394000000000005,1.9426428571428571,19,210.0,0.09005702330856885,19,210.0
35.0,16,215.0,7.166666666666667,3.874577662083905,452.8571628547789,15.095238761825964,59.23400000000001,1.9744666666666668,14,223.0,0.12532810712373096,14,223.0
40.0,15,286.0,8.9375,4.811407118918378,552.3055591315847,17.25954872286202,60.385000000000005,1.8870312500000002,15,286.0,0.1532845194820234,15,286.0
45.0,19,369.0,11.181818181818182,4.260556730790718,632.686433023508,19.172316152227516,58.89600000000001,1.7847272727272727,17,364.0,0.09164279157037729,17,364.0
50.0,20,464.0,14.06060606060606,4.062086918049108,706.4276790786878,21.406899366020845,59.021,1.7885151515151516,17,449.0,0.10909439587668603,17,449.0
55.0,19,539.0,16.333333333333332,3.2959681176741857,772.66997250171,23.41424159096091,58.555,1.7743939393939394,19,539.0,0.0684426673112344,19,539.0
60.0,20,639.0,18.257142857142856,4.3325509525427774,874.8340186073361,24.995257674495317,62.411,1.7831714285714286,20,639.0,0.08597954810165333,20,639.0
65.0,21,740.0,20.555555555555557,3.734427668889282,948.4684119194669,26.346344775540743,65.107,1.8085277777777777,21,740.0,0.1275960985191246,21,740.0
70.0,23,852.0,23.027027027027028,3.1065586936098057,1047.3353420960639,28.306360597190917,65.662,1.7746486486486484,23,852.0,0.09240643374753417,23,852.0
75.0,27,978.0,26.43243243243243,2.2789424830810825,1179.527747330965,31.879128306242304,65.724,1.7763243243243245,26,978.0,0.030761278174087588,26,978.0
80.0,29,1112.0,26.476190476190474,2.627480720218206,1335.9751615281994,31.80893241733807,67.526,1.607761904761905,27,1112.0,0.05536206949972287,27,1112.0
85.0,29,1256.0,28.545454545454547,3.0425398593098048,1495.356892657001,33.98538392402275,74.10799999999998,1.6842727272727271,29,1256.0,0.08658259650126207,29,1256.0
90.0,34,1414.0,33.666666666666664,1.7075016833185057,1651.5130612657038,39.32173955394533,72.05899999999998,1.715690476190476,34,1414.0,0.07403958971610831,34,1414.0
95.0,20,957.0,20.804347826086957,3.4843672817460978,1831.352623118098,39.81201354604561,73.19399999999997,1.591173913043478,19,1083.0,0.0726081980811793,19,1083.0
100.0,23,1062.0,21.6734693877551,6.037282367800182,1967.2022851346005,40.14698541091023,74.21699999999998,1.5146326530612244,20,1063.0,0.1397388315692865,20,1063.0
105.0,23,1161.0,23.693877551020407,5.529152526058928,1915.3679457140984,39.08914174926733,75.18699999999998,1.5344285714285717,23,1168.0,0.059041109523667014,23,1168.0
110.0,27,1287.0,32.175,2.6637221067040704,1575.658012141751,39.39145030354378,65.673,1.641825,26,1294.0,0.08697958118957722,26,1294.0
