step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.609343707743102,28.725253466863904,1.915016897790927,18.0,1.2,0,0.0,0.37901796466645604,0,0.0
10.0,2,0.0,0.0,10.144512548514275,52.315548786481195,2.6157774393240594,54.0,2.7,1,0.0,0.7832349994395743,1,0.0
15.0,5,5.0,0.21739130434782608,5.563936455869021,91.6562044513363,3.9850523674494043,58.333000000000006,2.536217391304348,4,5.0,0.38088005387233326,4,5.0
20.0,12,46.0,1.84,4.297627304818243,165.61757724629587,6.6247030898518355,58.96200000000001,2.35848,11,46.0,0.13809235161822855,11,46.0
25.0,15,114.0,4.222222222222222,3.561797739341588,251.03064660501204,9.297431355741189,63.233000000000004,2.3419629629629632,15,114.0,0.1292938829599099,15,114.0
30.0,19,200.0,6.896551724137931,2.4674104607313456,340.29216456335456,11.734212571150156,56.758,1.9571724137931035,19,200.0,0.08731094561073745,19,200.0
35.0,11,151.0,4.71875,4.247472617930297,449.3270449159053,14.041470153622036,58.378,1.8243125,9,201.0,0.15203936380866107,9,201.0
40.0,16,214.0,6.484848484848484,3.3892835427433035,562.1780597966166,17.035698781715656,59.266,1.795939393939394,13,243.0,0.11482278667514179,13,243.0
45.0,16,266.0,7.6,4.036499377216048,668.5623932815604,19.101782665187443,58.063,1.658942857142857,14,270.0,0.08149999083824251,14,270.0
50.0,17,342.0,9.5,4.684145433239461,759.1800567283234,21.088334909120096,47.785000000000004,1.3273611111111112,14,327.0,0.18021751497929378,14,327.0
55.0,19,429.0,11.289473684210526,3.7468202653302765,806.4410372170616,21.22213255834372,51.160999999999994,1.3463421052631577,15,397.0,0.14320167447846552,15,397.0
60.0,22,531.0,13.973684210526315,4.244792722327084,851.5122149301477,22.408216182372307,43.386999999999986,1.1417631578947367,15,471.0,0.09976326596409303,15,471.0
65.0,21,636.0,15.9,4.051672680954465,916.5727845904397,22.914319614760988,37.503,0.937575,15,546.0,0.10391362937182744,15,546.0
70.0,25,737.0,17.975609756097562,3.131466664384523,1020.5530325023093,24.8915373781051,36.54800000000001,0.8914146341463415,17,629.0,0.1523833455779682,17,629.0
75.0,31,877.0,21.925,2.030634760021795,1152.9489305126176,28.823723262815435,35.85300000000001,0.896325,21,725.0,0.06053680279390089,21,725.0
80.0,27,558.0,12.681818181818182,2.2591551121665643,1307.8284608776519,29.72337411085573,38.99600000000001,0.8862727272727273,18,621.0,0.08134276367598302,18,621.0
85.0,19,578.0,12.041666666666666,4.815919217933626,1409.0484717692812,29.35517649519336,52.184000000000005,1.0871666666666666,17,611.0,0.18535883849982385,17,611.0
90.0,22,646.0,12.92,5.028130014065577,1482.9261844215955,29.65852368843192,61.104,1.22208,21,715.0,0.17016342353435743,21,715.0
95.0,31,779.0,15.89795918367347,2.8611602959412417,1378.272757625669,28.128015461748348,56.045,1.1437755102040816,31,857.0,0.06477480552006934,31,857.0
100.0,27,328.0,6.833333333333333,2.751798668281808,1375.5984170463264,28.658300355131804,57.77900000000001,1.2037291666666665,24,632.0,0.05707047290792896,24,632.0
105.0,26,444.0,8.88,3.4922301364635735,1480.1931120258903,29.603862240517806,58.525000000000006,1.1704999999999999,24,562.0,0.1275587794286056,24,562.0
110.0,30,585.0,11.470588235294118,3.240419492365029,1547.5933533287878,30.344967712329176,59.60000000000001,1.1686274509803922,27,660.0,0.031846326353330116,27,660.0
115.0,36,753.0,15.6875,2.1399172624863554,1453.103784068547,30.272995501428056,54.166,1.1284583333333333,31,808.0,0.024310027809993157,31,808.0
120.0,31,599.0,12.224489795918368,1.8118709705269813,1444.3121047509853,29.475757239816037,56.449000000000005,1.1520204081632652,23,761.0,0.05128777468726387,23,761.0
125.0,28,664.0,12.528301886792454,3.397872857876964,1546.2358153036434,29.174260666106484,61.085000000000015,1.1525471698113205,19,767.0,0.1098282618082832,19,767.0
130.0,30,791.0,14.381818181818181,3.343672341300841,1690.167405641304,30.73031646620553,60.326,1.0968363636363634,20,862.0,0.12689928835032044,20,862.0
135.0,37,959.0,17.436363636363637,1.994732689744921,1736.6313197154566,31.57511490391739,52.89,0.9616363636363634,26,980.0,0.06606338964532626,26,980.0
140.0,29,647.0,11.763636363636364,2.3640993228394946,1853.940433328004,33.70800787869099,49.65699999999999,0.9028545454545452,22,833.0,0.09081489101099215,22,833.0
