step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_time_loss,system_mean_time_loss,system_total_depart_delay,system_mean_depart_delay,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.018401598972269,28.19386957438942,1.8795913049592947,18.0,1.2,0,0.0,0.45960015940038373,0,0.0
10.0,2,0.0,0.0,10.018404387404242,52.730125518045774,2.5109583580021804,54.577,2.5989047619047616,1,0.0,0.799466743694263,1,0.0
15.0,5,7.0,0.3181818181818182,6.432002413425807,97.35759081549293,4.42534503706786,54.714,2.487,4,6.0,0.37767509280368,4,6.0
20.0,11,50.0,1.9230769230769231,4.830270096686053,174.43733691823056,6.709128343008869,55.482000000000006,2.133923076923077,11,50.0,0.1063913620392122,11,50.0
25.0,16,122.0,4.6923076923076925,4.749024386624711,255.3924466778428,9.822786410686259,56.487,2.172576923076923,16,122.0,0.18102218953377355,16,122.0
30.0,17,203.0,8.458333333333334,2.9392492661035234,328.38425945493947,13.682677477289147,47.829,1.992875,17,203.0,0.02974919333766766,17,203.0
35.0,19,295.0,10.535714285714286,2.7997854050464244,431.101095342419,15.396467690800675,50.199,1.7928214285714288,19,295.0,0.0663106761504976,19,295.0
40.0,21,395.0,14.107142857142858,1.8541542052895135,535.9876375412199,19.142415626472143,51.606,1.8430714285714285,21,395.0,0.08426507248339411,21,395.0
45.0,17,367.0,12.233333333333333,2.1663301253147864,665.7194043849659,22.1906468128322,52.594,1.7531333333333332,17,420.0,0.039228917558261356,17,420.0
50.0,14,379.0,11.147058823529411,4.089747926787502,782.8234635238553,23.024219515407506,54.89800000000001,1.6146470588235293,14,424.0,0.14146491639074346,14,424.0
55.0,16,453.0,11.921052631578947,5.031794012514235,904.0538485782765,23.790890752059912,56.60200000000001,1.4895263157894736,16,467.0,0.11938297202943371,16,467.0
60.0,17,535.0,15.285714285714286,4.154179395875268,911.3626537175215,26.038932963357762,53.88600000000001,1.5395999999999999,17,549.0,0.0883827048692178,17,549.0
65.0,23,538.0,14.157894736842104,2.953536068824386,1033.96831375753,27.209692467303423,55.64500000000001,1.4643421052631578,22,552.0,0.04262874906390865,22,552.0
70.0,23,600.0,16.666666666666668,2.866701329517239,1018.5083458294123,28.291898495261457,52.96700000000001,1.4713055555555554,21,610.0,0.07382469741561323,21,610.0
75.0,28,721.0,19.486486486486488,2.6381749371747985,1138.2439580597363,30.763350217830716,53.67800000000001,1.450756756756757,25,725.0,0.04939568826534904,25,725.0
80.0,30,839.0,20.463414634146343,2.1058690346011137,1220.553638031711,29.769600927602706,59.36000000000002,1.4478048780487804,28,853.0,0.0008144509798181287,28,853.0
85.0,30,982.0,22.837209302325583,2.925017071351905,1324.3135173297117,30.79798877510958,62.76500000000002,1.4596511627906976,28,992.0,0.09557593089200811,28,992.0
90.0,33,1133.0,27.634146341463413,1.1844107201387222,1395.2650681379994,34.03085532043902,62.018000000000015,1.5126341463414634,30,1137.0,0.061752405962129005,30,1137.0
95.0,38,1309.0,29.75,0.7060916899707552,1595.5187473662922,36.26178971287028,64.37800000000001,1.4631363636363637,35,1299.0,0.000805643973919238,35,1299.0
100.0,41,1507.0,31.395833333333332,1.2071157473878893,1807.7323254274925,37.66109011307277,66.18900000000001,1.3789375,36,1479.0,0.04199261529311443,36,1479.0
105.0,44,1714.0,33.6078431372549,0.9084628402477207,2034.803942473245,39.89811651908323,68.22700000000002,1.33778431372549,37,1660.0,0.019990807544647864,37,1660.0
110.0,47,1939.0,37.28846153846154,0.9135855247274947,2276.1063220250967,43.77127542355955,69.09500000000001,1.3287499999999999,40,1854.0,5.140477349883735e-06,40,1854.0
115.0,48,2178.0,39.6,0.642961692622979,2522.1006439338603,45.856375344251994,71.10900000000002,1.292890909090909,40,2054.0,0.03369121150455615,40,2054.0
120.0,42,1479.0,25.94736842105263,1.5655423429414683,2772.894868728264,48.64727839874148,71.66100000000002,1.2572105263157896,30,1725.0,0.07863007609145313,30,1725.0
125.0,46,1690.0,28.64406779661017,1.2048773154631502,3031.4863766384515,51.38112502777037,73.36300000000001,1.2434406779661016,32,1774.0,0.012730712152452264,32,1774.0
