step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_stopped,tl_accumulated_waiting_time,tl_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.987739240137549,0,0.0,0.44090503366439665,0,0.0
10.0,0,0.0,0.0,10.2455823531548,0,0.0,0.7345502347947304,0,0.0
15.0,4,12.0,0.75,5.572495916652761,4,12.0,0.24597632553176552,4,12.0
20.0,8,45.0,2.8125,5.2127479976653275,8,45.0,0.18262197621489243,8,45.0
25.0,11,90.0,5.625,2.4300664375563423,11,90.0,0.13559868466627795,11,90.0
30.0,3,2.0,0.11764705882352941,4.654593618406959,1,29.0,0.3206327434721028,1,29.0
35.0,7,25.0,1.25,6.374138727323,5,13.0,0.22544579182962493,5,13.0
40.0,5,30.0,1.6666666666666667,6.778143355411043,3,10.0,0.35940791078924156,3,10.0
45.0,6,19.0,1.1875,5.078541684247467,6,28.0,0.25378802011874085,6,28.0
50.0,9,44.0,2.2,4.19528198247015,9,53.0,0.19221459872973756,9,53.0
55.0,9,88.0,4.4,4.354452341634998,9,97.0,0.25197621192909364,9,97.0
60.0,13,147.0,7.35,1.6759332352567153,13,156.0,0.0861636033589403,13,156.0
65.0,17,228.0,10.363636363636363,1.4355265654093574,17,237.0,0.06852666086871533,17,237.0
70.0,19,321.0,13.375,0.928401251312482,19,330.0,0.06282432497518907,19,330.0
75.0,24,425.0,13.709677419354838,0.9598174192781785,24,434.0,0.06817130522345416,24,434.0
80.0,9,79.0,2.323529411764706,4.541975298010569,9,282.0,0.28345138480974874,9,282.0
85.0,2,2.0,0.05714285714285714,6.284719351246486,0,124.0,0.2915871414172222,0,124.0
90.0,12,47.0,1.5666666666666667,4.687006541661735,10,121.0,0.15137527747440171,10,121.0
95.0,10,61.0,2.103448275862069,3.649919992811496,10,178.0,0.1303107089781535,10,178.0
100.0,15,52.0,1.7333333333333334,3.35958624235021,13,168.0,0.17420388146903096,13,168.0
105.0,17,124.0,4.133333333333334,3.465816163008319,17,244.0,0.12640222111462646,17,244.0
110.0,21,224.0,7.466666666666667,2.4295570871351484,21,344.0,0.063151505138104,21,344.0
115.0,23,335.0,11.551724137931034,1.3859463808355468,23,455.0,0.07082394016549566,23,455.0
120.0,11,97.0,3.2333333333333334,2.8209154536104375,11,268.0,0.09631954108427823,11,268.0
125.0,2,5.0,0.15151515151515152,8.057545003403964,2,127.0,0.32909569739727657,2,127.0
130.0,5,18.0,0.6923076923076923,6.484887456108818,3,83.0,0.2949509055352813,3,83.0
135.0,5,24.0,1.0434782608695652,4.325591142667494,5,110.0,0.1462576242755657,5,110.0
140.0,10,32.0,1.391304347826087,3.6771005785086213,10,130.0,0.1497215896940752,10,130.0
145.0,20,99.0,3.5357142857142856,2.1461438722692754,20,197.0,0.08952073211513309,20,197.0
150.0,18,182.0,6.066666666666666,2.3697180684613617,18,280.0,0.16086603382997974,18,280.0
155.0,21,285.0,8.90625,2.0847141390593285,21,383.0,0.14627048673574874,21,383.0
160.0,13,90.0,2.6470588235294117,2.716873273383545,13,237.0,0.09087248428280569,13,237.0
165.0,9,46.0,1.2432432432432432,5.939745920481822,8,152.0,0.20441360771975373,8,152.0
170.0,14,99.0,3.09375,5.2492361986332154,12,172.0,0.18436613642572589,12,172.0
175.0,13,128.0,4.7407407407407405,3.6809451342042316,13,221.0,0.13900673939044164,13,221.0
180.0,12,50.0,1.9230769230769231,3.139238401977903,10,157.0,0.11022801981161298,10,157.0
185.0,15,117.0,4.0344827586206895,4.086970652797244,15,227.0,0.13447525150963957,15,227.0
190.0,17,198.0,7.615384615384615,2.696366527280022,17,308.0,0.12068844470196209,17,308.0
195.0,21,294.0,10.5,1.3661411826739012,21,404.0,0.06914821385330451,21,404.0
200.0,7,88.0,2.933333333333333,3.409324713881743,7,236.0,0.17402846087571622,7,236.0
205.0,1,1.0,0.03125,7.200319253786197,1,134.0,0.2847892197154702,1,134.0
210.0,7,21.0,0.8076923076923077,6.164668814428271,5,103.0,0.26284909977168164,5,103.0
215.0,11,61.0,2.772727272727273,4.486565314346372,9,113.0,0.12563211116413545,9,113.0
220.0,8,79.0,3.0384615384615383,5.537670224203962,6,125.0,0.253890561484037,6,125.0
225.0,3,59.0,2.4583333333333335,7.166497521674986,1,75.0,0.4361380885686349,1,75.0
230.0,7,80.0,3.2,4.989466671427012,5,79.0,0.21651170093343786,5,79.0
235.0,9,64.0,2.6666666666666665,4.640233589175435,9,117.0,0.24819248313338038,9,117.0
240.0,9,31.0,1.2916666666666667,3.750288529126662,8,89.0,0.1498028130582204,8,89.0
245.0,12,84.0,3.230769230769231,4.595449505649622,12,137.0,0.15986592396550897,12,137.0
250.0,14,151.0,6.291666666666667,3.393652414734794,14,206.0,0.1318290244898246,14,206.0
255.0,19,228.0,9.5,1.6233963023638838,19,283.0,0.07270977710166066,19,283.0
260.0,6,37.0,1.48,3.5405033364453384,5,163.0,0.18295198674132135,5,163.0
265.0,6,17.0,0.6071428571428571,4.906433815514625,4,143.0,0.17035737554809716,4,143.0
270.0,8,51.0,2.04,5.539003629431626,6,142.0,0.2503661930454193,6,142.0
275.0,5,37.0,1.48,4.6395912575260585,5,171.0,0.20061539887351962,5,171.0
280.0,9,32.0,1.391304347826087,3.5597199459008535,9,184.0,0.14803840498686383,9,184.0
285.0,15,96.0,4.173913043478261,2.102450649051865,15,248.0,0.07426613165523421,15,248.0
290.0,19,185.0,6.851851851851852,1.047113468515186,19,337.0,0.0798421890392609,19,337.0
295.0,21,286.0,8.9375,2.6043346084150016,21,438.0,0.1912355021123243,21,438.0
300.0,9,80.0,2.2857142857142856,3.3999718076536722,9,266.0,0.17419496949138505,9,266.0
305.0,10,24.0,0.6486486486486487,4.905910787758328,8,221.0,0.17890557525547468,8,221.0
310.0,12,76.0,2.303030303030303,4.849958992233331,10,218.0,0.13789310727108953,10,218.0
315.0,9,87.0,3.0,3.213521780596242,9,258.0,0.12237976189447107,9,258.0
320.0,14,55.0,1.8333333333333333,3.3495409736116057,12,235.0,0.17320191687251313,12,235.0
325.0,18,133.0,4.290322580645161,3.6151091373398616,17,298.0,0.1141293013677364,17,298.0
330.0,21,220.0,7.333333333333333,2.0217083778648384,21,392.0,0.07287144530236833,21,392.0
335.0,23,332.0,11.066666666666666,1.1985700095191532,23,504.0,0.05853901120605101,23,504.0
340.0,11,111.0,3.3636363636363638,2.410163724615864,11,334.0,0.11370463279053233,11,334.0
345.0,4,15.0,0.42857142857142855,6.146062173983415,3,225.0,0.2435137185415324,3,225.0
350.0,8,37.0,1.1935483870967742,5.366185562264917,6,208.0,0.19262816924177767,6,208.0
355.0,8,41.0,1.5769230769230769,4.303460719873102,8,235.0,0.1472491195790378,8,235.0
360.0,11,39.0,1.6956521739130435,2.862613752654416,11,252.0,0.08915488680383059,11,252.0
365.0,15,107.0,3.34375,3.2043592541450954,15,319.0,0.18438017925948205,15,319.0
370.0,19,197.0,6.15625,3.023215014413716,19,409.0,0.19899950328237737,19,409.0
375.0,24,311.0,9.147058823529411,1.5740572053029718,24,523.0,0.04109301328220978,24,523.0
380.0,14,132.0,3.7714285714285714,3.1164296750158185,13,401.0,0.08343328479400668,13,401.0
385.0,7,32.0,0.9142857142857143,4.811178509141137,6,365.0,0.16931708085070618,6,365.0
390.0,12,75.0,2.272727272727273,5.126398109287707,10,366.0,0.19731366794328717,10,366.0
395.0,10,61.0,2.033333333333333,2.932572948601431,10,407.0,0.10042830771808832,10,407.0
400.0,11,48.0,1.6551724137931034,2.9781850746926697,11,410.0,0.1136633559449967,11,410.0
405.0,19,126.0,4.344827586206897,2.3891973404284323,19,490.0,0.08102379044935314,19,490.0
410.0,23,236.0,7.612903225806452,1.3761644361754772,23,600.0,0.07133796124854216,23,600.0
415.0,26,359.0,11.21875,1.1568962459463026,26,723.0,0.09041532353843153,26,723.0
420.0,13,186.0,5.470588235294118,2.2795186837753882,13,564.0,0.08409224263913755,13,564.0
425.0,7,76.0,2.111111111111111,6.1804014507301375,7,381.0,0.2303131440521573,7,381.0
430.0,6,19.0,0.59375,5.546964075827417,4,357.0,0.22529326876992256,4,357.0
435.0,9,50.0,1.5625,5.0050137812723845,7,328.0,0.22549596482296605,7,328.0
440.0,8,35.0,1.0606060606060606,5.055774651434,8,353.0,0.2763353530166622,8,353.0
445.0,10,38.0,1.2666666666666666,3.669409901276704,10,373.0,0.15342752401118379,10,373.0
450.0,18,110.0,3.793103448275862,2.6681665611218555,18,445.0,0.05482056180100403,18,445.0
455.0,22,210.0,7.0,2.1180640586802415,22,545.0,0.0717422259696816,22,545.0
460.0,25,322.0,10.387096774193548,0.9239978643850165,25,657.0,0.06866637835392012,25,657.0
465.0,13,166.0,5.03030303030303,2.821838180715507,13,431.0,0.11312007830649995,13,431.0
470.0,7,28.0,0.7777777777777778,5.549194695764395,6,421.0,0.17220415524980223,6,421.0
475.0,8,36.0,1.0909090909090908,5.6719304394802466,6,408.0,0.23223676711391897,6,408.0
480.0,12,71.0,2.4482758620689653,4.873104030401617,11,400.0,0.16670478185377627,11,400.0
485.0,5,35.0,1.206896551724138,6.224058270725866,4,116.0,0.2863780667195894,4,116.0
490.0,4,32.0,1.28,5.9033054415804065,4,127.0,0.2671638628481645,4,127.0
495.0,8,20.0,0.8695652173913043,4.340960350575673,8,115.0,0.14285407491710694,8,115.0
500.0,14,73.0,3.0416666666666665,3.257708507205937,14,168.0,0.1249502053794675,14,168.0
505.0,22,148.0,5.481481481481482,1.26606131145021,22,243.0,0.08494808703175963,22,243.0
510.0,22,243.0,7.838709677419355,2.2359835724064503,22,338.0,0.15819845535292287,22,338.0
515.0,10,101.0,3.0606060606060606,3.651797474107415,9,241.0,0.20850362902229724,9,241.0
520.0,8,24.0,0.6857142857142857,4.7450519992043,7,218.0,0.12806719233572195,7,218.0
525.0,18,86.0,2.6875,3.695812084093324,16,232.0,0.13602159065371636,16,232.0
530.0,18,159.0,4.96875,3.759463858659339,16,266.0,0.15694044228862117,16,266.0
535.0,11,135.0,4.5,3.6740986482892963,11,306.0,0.15974411109836548,11,306.0
540.0,13,44.0,1.5172413793103448,2.8939642957063416,11,258.0,0.10849563499572357,11,258.0
545.0,20,120.0,3.75,3.3630059277587683,19,314.0,0.10328704143661355,19,314.0
550.0,21,208.0,6.933333333333334,2.525838096140077,21,409.0,0.11234759999078824,21,409.0
555.0,26,322.0,10.387096774193548,1.0243875487481415,26,523.0,0.04097681988756528,26,523.0
560.0,12,157.0,4.757575757575758,2.4946201405442645,12,416.0,0.11702031715119496,12,416.0
565.0,9,34.0,0.9714285714285714,4.5061947722365785,8,397.0,0.1396330696818901,8,397.0
570.0,12,69.0,2.15625,4.248916320129133,10,391.0,0.14881169279624806,10,391.0
575.0,16,130.0,4.642857142857143,4.157350857858182,14,407.0,0.1450974125880642,14,407.0
580.0,9,86.0,2.6875,4.439393198306764,9,414.0,0.18601437898958456,9,414.0
585.0,9,35.0,1.1666666666666667,4.792201451780048,9,405.0,0.2817695486380144,9,405.0
590.0,17,103.0,3.21875,3.2556927948236503,17,474.0,0.13031846811903985,17,474.0
595.0,21,200.0,6.25,2.9021228618969777,21,572.0,0.09566036503309946,21,572.0
600.0,25,318.0,10.6,0.9255750732225049,25,690.0,0.037501274578153006,25,690.0
